sample_ID,site,timestamp,pCH4_uatm,CH4_uM,CH4_notes,pCO2_uatm,CO2_uM,CO2_notes,pN2O_uatm,N2O_uM,N2O_notes
BARC.C0.20160907,BARC,9/7/2016 14:38,920.77,1.191,,2794,83.3,,1.516,0.033,
BARC.C0.20161012,BARC,10/12/2016 14:25,283.93,0.398,,1957,64.7,,1.053,0.025,
BARC.C0.20161102,BARC,11/2/2016 15:05,432.1,0.615,,1720,57.9,,0.516,0.013,
BARC.C0.20161213,BARC,12/13/2016 16:41,77.87,0.124,,617,24,,0.791,0.023,
BARC.C0.20170201,BARC,2/1/2017 15:12,219.58,0.371,,1701,71.1,,0.374,0.012,
BARC.C0.20170309,BARC,3/9/2017 15:18,316.54,0.486,,1031,38.2,,0.574,0.016,
BARC.C0.20170405,BARC,4/5/2017 13:53,2011.78,2.907,,2167,74.1,,1.255,0.031,
BARC.C0.20170502,BARC,5/2/2017 13:45,812.82,1.094,,1238,38.7,,0.936,0.021,
BARC.C0.20170608,BARC,6/8/2017 14:04,1461.01,1.972,,1365,42.8,,0.324,0.007,
BARC.C0.20170627,BARC,6/27/2017 12:51,3180.87,3.984,,2740,78.3,,0.388,0.008,
BARC.C0.20170802,BARC,8/2/2017 13:04,1088.8,1.377,,2718,78.7,,0.522,0.011,
BARC.C0.20170905,BARC,9/5/2017 13:30,796.47,1.005,,3204,92.4,,0.678,0.014,
BARC.C0.20171010,BARC,10/10/2017 14:03,157.28,0.206,,1702,51.3,,0.506,0.011,
BARC.C0.20171107,BARC,11/7/2017 16:05,20.5,0.03,,2086,73.1,,0.444,0.011,
BARC.C0.20171205,BARC,12/5/2017 15:57,54.3,0.084,,1459,54.8,,0.03,0.001,
BARC.C0.20180104,BARC,1/4/2018 15:55,33.58,0.063,,1407,66.7,,1.053,0.038,
BARC.C0.20180206,BARC,2/6/2018 15:45,35.43,0.062,,1568,68,,1.255,0.041,
BARC.C0.20180305,BARC,3/5/2018 15:46,2173.96,3.418,,3694,140.8,,0.944,0.027,
BARC.C0.20180402,BARC,4/2/2018 15:13,150.65,0.229,,2288,83.7,,1.006,0.027,
BARC.C0.20180430,BARC,4/30/2018 16:07,729.99,1.033,,1710,57.1,,0.634,0.015,
BARC.C0.20180709,BARC,7/10/2018 3:27,1459.14,1.813,,5987,169.7,,1.096,0.022,
BARC.C0.20180731,BARC,7/31/2018 14:30,3810.68,4.929,,6160,183.5,,0.972,0.021,
BARC.C0.20180905,BARC,9/5/2018 14:27,506.09,0.663,,6351,192.2,,1.689,0.037,
BARC.C0.20181001,BARC,10/1/2018 15:29,2178.41,2.812,,7338,218.2,,0.967,0.021,
BARC.C0.20181105,BARC,11/5/2018 16:12,108.56,0.164,,3523,127.7,,0.791,0.021,
BARC.C0.20181203,BARC,12/3/2018 17:33,33.5,0.055,,891,36.1,,0.32,0.01,
BARC.C0.20190107,BARC,1/7/2019 19:20,140.52,0.241,,1157,49.2,,0.417,0.013,
BARC.C0.20190205,BARC,2/5/2019 16:57,82.35,0.149,,637,29.1,,0.341,0.012,
BARC.C0.20190305,BARC,3/5/2019 16:11,971.9,1.62,,1673,68.6,,0.397,0.012,
BARC.C0.20190411,BARC,4/11/2019 14:42,29.34,0.045,,852,31.6,,0.134,0.004,
BARC.C0.20190508,BARC,5/8/2019 14:32,113.93,0.163,,2141,72.3,,0.438,0.011,
BARC.C0.20190611,BARC,6/11/2019 14:56,394.11,0.541,,4296,137.7,,0.588,0.014,
BARC.C0.20190708,BARC,7/8/2019 14:02,672.12,0.902,,5440,169.4,,0.291,0.007,
BARC.C0.20190813,BARC,8/13/2019 16:46,491.87,0.642,,2592,77.9,,0.513,0.011,
BARC.C0.20190910,BARC,9/10/2019 13:02,176.18,0.236,,1822,56.9,,0.546,0.012,
BARC.C0.20191001,BARC,10/1/2019 14:30,51.49,0.072,,2298,75.4,,0.532,0.013,
BARC.C0.20191104,BARC,11/4/2019 15:00,60.65,0.093,,1282,47.5,,0.925,0.025,
BARC.C0.20191209,BARC,12/9/2019 13:30,54.69,0.098,,988,44.4,,0.517,0.018,
BARC.C0.20200107,BARC,1/7/2020 14:14,135.67,0.242,,1115,50,,0.504,0.017,
BARC.C0.20200204,BARC,2/4/2020 14:49,37.68,0.07,,914,43.2,,0.769,0.028,
BARC.C0.20200303,BARC,3/3/2020 15:07,76.16,0.136,,954,42.7,,0.653,0.022,
BARC.C0.20200616,BARC,6/16/2020 13:28,195.03,0.272,,2301,75.6,,0.842,0.02,
BARC.C0.20200707,BARC,7/7/2020 13:47,448.63,0.611,,3882,123.4,,0.757,0.017,
BARC.IN.20160706,BARC,7/6/2016 14:30,1505.3,1.821,,1899,52,,0.954,0.019,
BARC.IN.20160810,BARC,8/10/2016 13:20,649.43,0.829,,2424,71,,0.897,0.019,
BARC.IN.20160907,BARC,9/7/2016 15:04,816.88,1.057,,2016,60.1,,1.804,0.039,
BARC.IN.20161012,BARC,10/12/2016 14:56,281.04,0.394,,1694,56,,1.162,0.028,
BARC.IN.20161102,BARC,11/2/2016 15:30,89.44,0.127,,1532,51.6,,1.302,0.032,
BARC.IN.20161213,BARC,12/13/2016 15:29,39.27,0.063,,1605,62.6,,0.703,0.02,
BARC.IN.20170201,BARC,2/1/2017 15:47,90.04,0.153,,1346,56.6,,0.673,0.021,
BARC.IN.20170309,BARC,3/9/2017 15:40,297.63,0.46,,3667,136.9,,0.423,0.012,
BARC.IN.20170405,BARC,4/5/2017 14:29,358.67,0.52,,1154,39.7,,0.793,0.02,
BARC.IN.20170502,BARC,5/2/2017 14:02,594.7,0.804,,812,25.6,,0.538,0.012,
BARC.IN.20170608,BARC,6/8/2017 14:30,969.8,1.32,,1718,54.4,,0.337,0.008,
BARC.IN.20170627,BARC,6/27/2017 13:17,1771.18,2.228,,2546,73.1,,0.361,0.007,
BARC.IN.20170802,BARC,8/2/2017 13:27,465.95,0.59,,3682,106.9,,0.578,0.012,
BARC.IN.20170905,BARC,9/5/2017 13:45,736.7,0.931,,4294,124.2,,0.328,0.007,
BARC.IN.20171010,BARC,10/10/2017 14:26,129.9,0.169,,1991,59.9,,0.549,0.012,
BARC.IN.20171107,BARC,11/7/2017 16:39,81.72,0.12,,2748,96.3,,0.673,0.017,
BARC.IN.20171205,BARC,12/5/2017 16:14,57.25,0.089,,1638,61.2,,0.431,0.012,
BARC.OT.20160706,BARC,7/6/2016 15:10,1439.72,1.735,,1845,50.3,,0.91,0.018,
BARC.OT.20160810,BARC,8/10/2016 13:48,646.25,0.832,,3290,97.4,,0.878,0.019,
BARC.OT.20160907,BARC,9/7/2016 15:35,705.54,0.909,,2152,63.9,,1.115,0.024,
BARC.OT.20161012,BARC,10/12/2016 15:30,251.18,0.353,,1586,52.5,,1.153,0.028,
BARC.OT.20161102,BARC,11/2/2016 15:58,2.73,0.004,,813,27.2,,1.297,0.032,
BARC.OT.20161213,BARC,12/13/2016 16:01,181.32,0.292,,1588,62.3,,0.326,0.01,
BARC.OT.20170201,BARC,2/1/2017 16:20,41.47,0.071,,1275,53.9,,0.877,0.028,
BARC.OT.20170309,BARC,3/9/2017 16:04,334.7,0.512,,3228,118.8,,0.568,0.015,
BARC.OT.20170405,BARC,4/5/2017 14:55,428.61,0.619,,1418,48.5,,0.701,0.018,
BARC.OT.20170502,BARC,5/2/2017 14:55,443.92,0.6,,897,28.2,,0.578,0.013,
BARC.OT.20170608,BARC,6/8/2017 15:00,1244.63,1.701,,1317,42,,0.309,0.007,
BARC.OT.20170627,BARC,6/27/2017 13:45,1466.02,1.848,,2437,70.2,,0.405,0.008,
BARC.OT.20170802,BARC,8/2/2017 13:50,502.49,0.634,,3631,104.8,,0.503,0.01,
BARC.OT.20170905,BARC,9/5/2017 14:08,347.36,0.438,,3467,100,,0.648,0.013,
BARC.OT.20171010,BARC,10/10/2017 14:54,201.48,0.262,,1760,52.8,,0.803,0.017,
BARC.OT.20171107,BARC,11/7/2017 16:57,6.44,0.009,,2208,76.5,,0.708,0.018,
BARC.OT.20171205,BARC,12/5/2017 16:38,51.32,0.08,,2164,81.1,,0.35,0.01,
BIGC.SS.20180307,BIGC,3/7/2018 17:31,39.94,0.09,,1182,70.5,,0.385,0.018,
BIGC.SS.20180313,BIGC,3/13/2018 16:24,17.73,0.043,,1173,73.4,,0.267,0.013,
BIGC.SS.20180328,BIGC,3/28/2018 17:34,13.33,0.033,,1377,89.1,,0.356,0.018,
BIGC.SS.20180403,BIGC,4/3/2018 16:34,48.93,0.117,,1303,81.1,,0.374,0.018,
BIGC.SS.20180410,BIGC,4/10/2018 17:35,26.55,0.061,,1300,76.5,,0.301,0.014,
BIGC.SS.20180423,BIGC,4/23/2018 17:05,39.65,0.092,,1237,74.7,,0.302,0.014,
BIGC.SS.20180430,BIGC,4/30/2018 16:58,78.67,0.188,,978,60.7,,0.428,0.021,
BIGC.SS.20180507,BIGC,5/8/2018 4:46,84.67,0.186,,1391,78.1,,0.683,0.029,
BIGC.SS.20180508,BIGC,5/8/2018 18:27,89.35,0.191,,1356,73.5,,0.436,0.018,
BIGC.SS.20180514,BIGC,5/14/2018 16:21,115.06,0.258,,1469,84.6,,0.452,0.02,
BIGC.SS.20180521,BIGC,5/21/2018 17:17,112.77,0.25,,2244,127.1,,0.828,0.036,
BIGC.SS.20180529,BIGC,5/29/2018 18:08,120.18,0.258,,1743,94.7,,0.231,0.01,
BIGC.SS.20180604,BIGC,6/4/2018 18:27,118.14,0.253,,2262,123.1,,0.5,0.021,
BIGC.SS.20180605,BIGC,6/5/2018 17:25,100.18,0.215,,2103,114.3,,1.665,0.069,
BIGC.SS.20180612,BIGC,6/13/2018 6:28,138,0.295,,2555,138.1,,0.302,0.012,
BIGC.SS.20180625,BIGC,6/25/2018 16:31,139.49,0.286,,1774,91.2,,0.391,0.015,
BIGC.SS.20180702,BIGC,7/2/2018 17:26,131.5,0.266,,1866,94.1,,0.515,0.02,
BIGC.SS.20180814,BIGC,8/14/2018 16:03,147.83,0.298,,1573,79.3,,0.241,0.009,
BIGC.SS.20180911,BIGC,9/11/2018 17:00,125.53,0.265,,2093,111.6,,0.251,0.01,
BIGC.SS.20180918,BIGC,9/18/2018 16:32,96.18,0.213,,1199,68,,0.346,0.015,
BIGC.SS.20181009,BIGC,10/9/2018 17:28,123.5,0.281,,1293,75.7,,0.249,0.011,
BIGC.SS.20181106,BIGC,11/6/2018 17:22,103.83,0.244,,1834,112.6,,0.498,0.024,
BIGC.SS.20181204,BIGC,12/4/2018 18:45,111.47,0.278,,2226,146.7,,4.355,0.224,
BIGC.SS.20190128,BIGC,1/28/2019 17:45,41.95,0.102,,1113,71.2,,0.224,0.011,
BIGC.SS.20190304,BIGC,3/4/2019 19:54,20.66,0.051,,963,63.2,,0.003,0,
BIGC.SS.20190312,BIGC,3/12/2019 18:02,19.94,0.051,,847,57.2,,0.196,0.01,
BIGC.SS.20190326,BIGC,3/26/2019 17:00,33.52,0.082,,973,62.3,,0.133,0.007,
BIGC.SS.20190402,BIGC,4/2/2019 17:03,34.87,0.081,,1165,70.6,,0.24,0.011,
BIGC.SS.20190409,BIGC,4/9/2019 16:46,47.24,0.107,,1045,61.3,,0.34,0.015,
BIGC.SS.20190417,BIGC,4/17/2019 16:55,59.55,0.14,,1436,88.1,,0.194,0.009,
BIGC.SS.20190422,BIGC,4/22/2019 16:30,62.67,0.147,,1331,81.4,,0.428,0.02,
BIGC.SS.20190429,BIGC,4/29/2019 17:35,62.54,0.139,,994,56.8,,0.243,0.011,
BIGC.SS.20190506,BIGC,5/6/2019 18:03,81.97,0.184,,1134,65.5,,0.199,0.009,
BIGC.SS.20190507,BIGC,5/7/2019 16:46,78.91,0.176,,928,53.4,,0.222,0.01,
BIGC.SS.20190513,BIGC,5/13/2019 16:48,93.78,0.204,,1205,66.8,,0.211,0.009,
BIGC.SS.20190522,BIGC,5/22/2019 20:55,71.01,0.167,,888,54.4,,0.118,0.006,
BIGC.SS.20190528,BIGC,5/28/2019 17:36,77.43,0.178,,1051,62.6,,0.19,0.009,
BIGC.SS.20190603,BIGC,6/3/2019 23:15,98.13,0.2,,1386,71.1,,0.125,0.005,
BIGC.SS.20190604,BIGC,6/4/2019 17:45,100.98,0.219,,1676,92.5,,0.284,0.012,
BIGC.SS.20190612,BIGC,6/12/2019 17:25,169.52,0.35,,2180,113.7,,0.225,0.009,
BIGC.SS.20190624,BIGC,6/24/2019 18:02,129.83,0.267,,1886,97.5,,0.412,0.016,
BIGC.SS.20190701,BIGC,7/1/2019 17:33,122.02,0.258,,1472,78.8,,0.141,0.006,
BIGC.SS.20190715,BIGC,7/15/2019 17:12,122.21,0.25,,1542,79.1,,0.299,0.012,
BIGC.SS.20190904,BIGC,9/4/2019 18:40,101.88,0.199,,1607,77.5,,0.603,0.022,
BIGC.SS.20190910,BIGC,9/10/2019 17:01,109.77,0.234,,1161,62.8,,0.649,0.027,
BIGC.SS.20190918,BIGC,9/18/2019 17:41,91.62,0.198,,1012,55.9,,0.263,0.011,
BIGC.SS.20191008,BIGC,10/8/2019 18:00,80.69,0.178,,1001,56.6,,0.268,0.012,
BIGC.SS.20191105,BIGC,11/5/2019 18:06,72.01,0.168,,1080,65.9,,0.213,0.01,
BIGC.SS.20191204,BIGC,12/4/2019 18:25,89.02,0.229,,1426,97.3,,0.201,0.011,
BIGC.SS.20200107,BIGC,1/7/2020 18:45,57.51,0.145,,1143,76.6,,0.258,0.014,
BIGC.SS.20200211,BIGC,2/11/2020 17:13,48.19,0.125,,798,55.3,,0.137,0.008,
BIGC.SS.20200225,BIGC,2/25/2020 17:49,55.16,0.134,,972,62.4,,0.184,0.009,
BIGC.SS.20200310,BIGC,3/10/2020 17:52,49,0.119,,1016,64.8,,0.343,0.017,
BLDE.SS.20180306,BLDE,3/6/2018 16:13,56.4,0.177,,2380,204.7,,0.529,0.036,
BLDE.SS.20180313,BLDE,3/13/2018 14:35,5.75,0.018,,212,18.4,,0.222,0.015,
BLDE.SS.20180403,BLDE,4/3/2018 15:48,12.97,0.041,,583,50.6,,0.338,0.023,
BLDE.SS.20180417,BLDE,4/17/2018 18:30,18.55,0.058,,880,74.4,,0.639,0.043,
BLDE.SS.20180501,BLDE,5/1/2018 15:28,11.92,0.037,,728,62.4,,0.295,0.02,
BLDE.SS.20180508,BLDE,5/9/2018 5:52,7.27,0.02,,853,62.7,,0.699,0.04,
BLDE.SS.20180515,BLDE,5/15/2018 16:41,7.19,0.021,,799,61.5,,0.274,0.017,
BLDE.SS.20180522,BLDE,5/22/2018 19:00,8.39,0.022,,566,39.3,,0.314,0.017,
BLDE.SS.20180529,BLDE,5/29/2018 16:50,10.92,0.029,,772,54,,0.283,0.015,
BLDE.SS.20180605,BLDE,6/5/2018 16:55,13.04,0.034,,802,55,,0.308,0.016,
BLDE.SS.20180612,BLDE,6/12/2018 18:21,22.04,0.059,,788,55.8,,0.337,0.019,
BLDE.SS.20180619,BLDE,6/19/2018 16:30,22.81,0.06,,811,55.8,,0.328,0.018,
BLDE.SS.20180625,BLDE,6/25/2018 16:30,24.24,0.062,,742,49.5,,0.322,0.017,
BLDE.SS.20180702,BLDE,7/2/2018 16:30,27.37,0.069,,708,46.5,,0.296,0.015,
BLDE.SS.20180710,BLDE,7/10/2018 18:05,32.06,0.072,,1479,82.7,,0.344,0.015,
BLDE.SS.20180717,BLDE,7/17/2018 17:55,31.54,0.072,,730,42.4,,0.368,0.016,
BLDE.SS.20180807,BLDE,8/7/2018 18:45,30.08,0.07,,694,40.7,,0.403,0.018,
BLDE.SS.20180814,BLDE,8/14/2018 17:33,30.23,0.07,,958,55.7,,0.369,0.016,
BLDE.SS.20180904,BLDE,9/4/2018 18:00,19.89,0.05,,555,35.6,,0.401,0.02,
BLDE.SS.20180917,BLDE,9/17/2018 15:46,17.96,0.049,,1055,76.5,,0.527,0.03,
BLDE.SS.20181002,BLDE,10/2/2018 18:45,11.12,0.029,,832,56.7,,0.795,0.042,
BLDE.SS.20181106,BLDE,11/6/2018 18:45,12.99,0.041,,537,46.9,,0.34,0.024,
BLDE.SS.20181113,BLDE,11/13/2018 18:18,23.32,0.073,,673,57.5,,0.295,0.02,
BLDE.SS.20181204,BLDE,12/4/2018 19:00,7.04,0.022,,995,86.1,,0.445,0.031,
BLDE.SS.20190130,BLDE,1/30/2019 18:55,8.03,0.025,,830,72.4,,0.491,0.034,
BLDE.SS.20190205,BLDE,2/5/2019 18:30,5.69,0.018,,865,76.9,,0.406,0.029,
BLDE.SS.20190305,BLDE,3/5/2019 19:40,6.29,0.02,,853,74.2,,0.486,0.034,
BLDE.SS.20190312,BLDE,3/12/2019 17:50,5.4,0.017,,760,66.9,,0.32,0.023,
BLDE.SS.20190403,BLDE,4/3/2019 16:45,8.19,0.026,,692,59.5,,0.329,0.023,
BLDE.SS.20190502,BLDE,5/2/2019 16:55,12.17,0.037,,699,58.1,,0.29,0.019,
BLDE.SS.20190507,BLDE,5/7/2019 18:20,10.71,0.032,,519,41.7,,0.251,0.016,
BLDE.SS.20190520,BLDE,5/20/2019 18:35,10.6,0.03,,660,50.7,,0.392,0.024,
BLDE.SS.20190528,BLDE,5/28/2019 19:11,5.4,0.014,,876,60,,0.628,0.033,
