Vial,Site,Location,Rep,Collection.Date,CH4.area,CH4.hgt,CO2..area,CO2.hgt,Run.Date,File.name,Notes,dilution.sample.vol..ml.,dilution.status,CO2.curve,Measured.CH4.conc.ppm,Measured.CO2.conc.ppm,Sample.Vol,Final.Vol,Undiluted.CH4.conc.ppm,Undiluted.CO2.conc.ppm,CH4.Conc.Flag,CH4.perc,Data.Flag
197,Sister3,"4E,5B",NA,8/23/2022,1113.909,221.98,2.7138,0.33,10/13/2022,EDC_C_15,NA,0.1 mL into 10 glass syringe,1,low,5465.00858,-77.36057595,0.1,10,546500.858,-7736.057595,0,54.6500858,NA
198,Sister3,5C-5D,NA,8/23/2022,1757.2498,338.695,16.5269,2.216,10/13/2022,EDC_C_16,NA,0.1 mL into 10 glass syringe,1,low,8617.795383,-7.837123317,0.1,10,861779.5383,-783.7123317,0,86.17795383,NA
199,Sister3,5E,NA,8/23/2022,1992.9755,379.798,14.199,1.878,10/13/2022,EDC_C_17,NA,0.1 mL into 10 glass syringe,1,low,9773.004062,-19.55380135,0.1,10,977300.4062,-1955.380135,0,97.73004062,NA
200,Sister3,Fresh bubbles,1,8/23/2022,2523.0837,467.863,33.5343,4.508,10/13/2022,EDC_C_18,NA,0.1 mL into 10 glass syringe,1,low,12370.87775,77.76373154,0.1,10,1237087.775,7776.373154,1,123.7087775,NA
201,Sister3,Fresh bubbles,2,8/23/2022,885.5455,178.519,11.7728,1.517,10/13/2022,EDC_C_19,NA,0.1 mL into 10 glass syringe,1,low,4345.879451,-31.76523838,0.1,10,434587.9451,-3176.523838,0,43.45879451,NA
202,Sister3,Fresh bubbles,3,8/23/2022,2072.6996,393.167,90.33,11.22,10/13/2022,EDC_C_20,NA,0.1 mL into 10 glass syringe,1,low,10163.70381,363.6252079,0.1,10,1016370.381,36362.52079,1,101.6370381,NA
238,Catfish,C5D,4,9/6/2022,2459.8592,457.969,278.1262,30.638,10/13/2022,EDC_C_21,NA,0.1 mL into 10 glass syringe,1,low,12061.03673,1308.832309,0.1,10,1206103.673,130883.2309,1,120.6103673,NA
239,Catfish,C5A,6,9/7/2022,1913.7469,365.757,82.9936,10.397,10/13/2022,EDC_C_22,NA,0.1 mL into 10 glass syringe,1,low,9384.732582,326.6999805,0.1,10,938473.2582,32669.99805,0,93.84732582,NA
240,Catfish,2A-2D,NA,9/7/2022,994.1363,199.375,6.9836,0.872,10/13/2022,EDC_C_25,NA,0.1 mL into 10 glass syringe,1,low,4878.044738,-55.87001713,0.1,10,487804.4738,-5587.001713,0,48.78044738,NA
241,Catfish,2E-3E,NA,9/7/2022,912.1979,183.799,8.315,1.054,10/13/2022,EDC_C_26,NA,0.1 mL into 10 glass syringe,1,low,4476.493482,-49.16887655,0.1,10,447649.3482,-4916.887655,0,44.76493482,NA
242,Catfish,4C-4D,NA,9/7/2022,1405.9548,275.645,7.9893,1.008,10/13/2022,EDC_C_27,NA,0.1 mL into 10 glass syringe,1,low,6896.222245,-50.80817465,0.1,10,689622.2245,-5080.817465,0,68.96222245,NA
243,Catfish,4E-5A,NA,9/7/2022,2117.073,400.559,172.2186,19.761,10/13/2022,EDC_C_28,NA,0.1 mL into 10 glass syringe,1,low,10381.16223,775.7831017,0.1,10,1038116.223,77578.31017,1,103.8116223,NA
244,Catfish,5B-5C,NA,9/7/2022,1684.9321,325.697,11.1664,1.425,10/13/2022,EDC_C_29,NA,0.1 mL into 10 glass syringe,1,low,8263.391791,-34.81734266,0.1,10,826339.1791,-3481.734266,0,82.63391791,NA
245,Catfish,5D-5E,NA,9/7/2022,2516.4478,466.705,140.7462,16.447,10/13/2022,EDC_C_30,NA,0.1 mL into 10 glass syringe,1,low,12338.35754,617.3776814,0.1,10,1233835.754,61737.76814,1,123.3835754,NA
246,Catfish,Fresh bubbles,1,9/7/2022,1434.5152,281.48,79.7854,9.978,10/13/2022,EDC_C_31,NA,0.1 mL into 10 glass syringe,1,low,7036.186712,310.5526174,0.1,10,703618.6712,31055.26174,0,70.36186712,NA
247,Catfish,Fresh bubbles,2,9/7/2022,965.2501,193.802,36.1614,4.852,10/13/2022,EDC_C_32,NA,0.1 mL into 10 glass syringe,1,low,4736.48364,90.98632911,0.1,10,473648.364,9098.632911,0,47.3648364,NA
248,Catfish,Fresh bubbles,3,9/7/2022,1744.6058,336.2,88.6818,10.94,10/13/2022,EDC_C_33,NA,0.1 mL into 10 glass syringe,1,low,8555.831589,355.3295643,0.1,10,855583.1589,35532.95643,0,85.55831589,NA
288,Catfish,1A-4B,NA,9/19/2022,884.2829,178.361,7.8838,0.996,10/13/2022,EDC_C_38,NA,0.1 mL into 10 glass syringe,1,low,4339.691893,-51.33917234,0.1,10,433969.1893,-5133.917234,0,43.39691893,NA
289,Catfish,4C-5A,NA,9/19/2022,1613.842,313.175,9.0154,1.131,10/13/2022,EDC_C_39,NA,0.1 mL into 10 glass syringe,1,low,7915.004235,-45.64365584,0.1,10,791500.4235,-4564.365584,0,79.15004235,NA
290,Catfish,5B-5D,NA,9/19/2022,1747.6394,336.836,9.2571,1.183,10/13/2022,EDC_C_40,NA,0.1 mL into 10 glass syringe,1,low,8570.698195,-44.42714264,0.1,10,857069.8195,-4442.714264,0,85.70698195,NA
291,Catfish,Fresh bubbles,1,9/19/2022,1291.4734,254.908,43.9928,5.798,10/13/2022,EDC_C_41,NA,0.1 mL into 10 glass syringe,1,low,6335.189201,130.4029674,0.1,10,633518.9201,13040.29674,0,63.35189201,NA
292,Catfish,Fresh bubbles,2,9/19/2022,2505.9244,465.16,153.989,17.725,10/13/2022,EDC_C_42,NA,0.1 mL into 10 glass syringe,1,low,12286.78606,684.0307266,0.1,10,1228678.606,68403.07266,1,122.8678606,NA
293,Catfish,Fresh bubbles,3,9/19/2022,1534.313,298.907,47.924,6.269,10/13/2022,EDC_C_43,NA,0.1 mL into 10 glass syringe,1,low,7525.2606,150.1893005,0.1,10,752526.06,15018.93005,0,75.252606,NA
