"","Location","Trap #","Trip","date_time","name","value","sampling"
"29","Deans","D2C",1,2022-08-16 10:56:56,"YSI Bottom SPC","47.4","Deans1"
"30","Deans","D2C",1,2022-08-16 10:56:56,"YSI Bottom C","49.7","Deans1"
"31","Deans","D2C",1,2022-08-16 10:56:56,"YSI Bottom pH","8.62","Deans1"
"32","Deans","D2C",1,2022-08-16 10:56:56,"YSI Bottom PC ug/L","0.09","Deans1"
"33","Deans","D4A",1,2022-08-16 11:15:52,"YSI Top Temp","28","Deans1"
"34","Deans","D4A",1,2022-08-16 11:15:52,"YSI Top Pressure","751.2","Deans1"
"35","Deans","D4A",1,2022-08-16 11:15:52,"YSI Top Chl ug/L","3.16","Deans1"
"36","Deans","D4A",1,2022-08-16 11:15:52,"YSI Top DO mg/L","5.79","Deans1"
"37","Deans","D4A",1,2022-08-16 11:15:52,"YSI Top SPC","45.5","Deans1"
"38","Deans","D4A",1,2022-08-16 11:15:52,"YSI Top C","48.2","Deans1"
"39","Deans","D4A",1,2022-08-16 11:15:52,"YSI Top pH","8.46","Deans1"
"40","Deans","D4A",1,2022-08-16 11:15:52,"YSI Top PC ug/L","0.08","Deans1"
"41","Deans","D4A",1,2022-08-16 11:15:52,"YSI Bottom Temp","28","Deans1"
"42","Deans","D4A",1,2022-08-16 11:15:52,"YSI Bottom Pressure","752","Deans1"
"43","Deans","D4A",1,2022-08-16 11:15:52,"YSI Bottom Chl ug/L","3.43","Deans1"
"44","Deans","D4A",1,2022-08-16 11:15:52,"YSI Bottom DO mg/L","5.74","Deans1"
"45","Deans","D4A",1,2022-08-16 11:15:52,"YSI Bottom SPC","45.5","Deans1"
"46","Deans","D4A",1,2022-08-16 11:15:52,"YSI Bottom C","48.2","Deans1"
"47","Deans","D4A",1,2022-08-16 11:15:52,"YSI Bottom pH","8.53","Deans1"
"48","Deans","D4A",1,2022-08-16 11:15:52,"YSI Bottom PC ug/L","0.2","Deans1"
"49","Deans","D4C",1,2022-08-16 11:24:15,"YSI Top Temp","28","Deans1"
"50","Deans","D4C",1,2022-08-16 11:24:15,"YSI Top Pressure","752.1","Deans1"
"51","Deans","D4C",1,2022-08-16 11:24:15,"YSI Top Chl ug/L","3.75","Deans1"
"52","Deans","D4C",1,2022-08-16 11:24:15,"YSI Top DO mg/L","5.59","Deans1"
"53","Deans","D4C",1,2022-08-16 11:24:15,"YSI Top SPC","45.6","Deans1"
"54","Deans","D4C",1,2022-08-16 11:24:15,"YSI Top C","48.2","Deans1"
"55","Deans","D4C",1,2022-08-16 11:24:15,"YSI Top pH","8.49","Deans1"
"56","Deans","D4C",1,2022-08-16 11:24:15,"YSI Top PC ug/L","0.14","Deans1"
"57","Deans","D4C",1,2022-08-16 11:24:15,"YSI Bottom Temp","27.9","Deans1"
"58","Deans","D4C",1,2022-08-16 11:24:15,"YSI Bottom Pressure","752.2","Deans1"
"59","Deans","D4C",1,2022-08-16 11:24:15,"YSI Bottom Chl ug/L","3.02","Deans1"
"60","Deans","D4C",1,2022-08-16 11:24:15,"YSI Bottom DO mg/L","5.48","Deans1"
"61","Deans","D4C",1,2022-08-16 11:24:15,"YSI Bottom SPC","45.5","Deans1"
"62","Deans","D4C",1,2022-08-16 11:24:15,"YSI Bottom C","48","Deans1"
"63","Deans","D4C",1,2022-08-16 11:24:15,"YSI Bottom pH","8.51","Deans1"
"64","Deans","D4C",1,2022-08-16 11:24:15,"YSI Bottom PC ug/L","-0.05","Deans1"
"65","Deans","D2A",2,2022-08-16 13:14:19,"YSI Top Temp","28.6","Deans1"
"66","Deans","D2A",2,2022-08-16 13:14:19,"YSI Top Pressure","752.4","Deans1"
"67","Deans","D2A",2,2022-08-16 13:14:19,"YSI Top Chl ug/L","2.36","Deans1"
"68","Deans","D2A",2,2022-08-16 13:14:19,"YSI Top DO mg/L","6.24","Deans1"
"69","Deans","D2A",2,2022-08-16 13:14:19,"YSI Top SPC","45.4","Deans1"
"70","Deans","D2A",2,2022-08-16 13:14:19,"YSI Top C","48.6","Deans1"
"71","Deans","D2A",2,2022-08-16 13:14:19,"YSI Top pH","11.13","Deans1"
"72","Deans","D2A",2,2022-08-16 13:14:19,"YSI Top PC ug/L","0.12","Deans1"
"73","Deans","D2A",2,2022-08-16 13:14:19,"YSI Bottom Temp","28.3","Deans1"
"74","Deans","D2A",2,2022-08-16 13:14:19,"YSI Bottom Pressure","752.4","Deans1"
"75","Deans","D2A",2,2022-08-16 13:14:19,"YSI Bottom Chl ug/L","3.75","Deans1"
"76","Deans","D2A",2,2022-08-16 13:14:19,"YSI Bottom DO mg/L","5.49","Deans1"
"77","Deans","D2A",2,2022-08-16 13:14:19,"YSI Bottom SPC","45.6","Deans1"
"78","Deans","D2A",2,2022-08-16 13:14:19,"YSI Bottom C","48.3","Deans1"
"79","Deans","D2A",2,2022-08-16 13:14:19,"YSI Bottom pH","10.55","Deans1"
"80","Deans","D2A",2,2022-08-16 13:14:19,"YSI Bottom PC ug/L","1.31","Deans1"
"81","Deans","D2C",2,2022-08-16 13:20:07,"YSI Top Temp","28.7","Deans1"
"82","Deans","D2C",2,2022-08-16 13:20:07,"YSI Top Pressure","752.3","Deans1"
"83","Deans","D2C",2,2022-08-16 13:20:07,"YSI Top Chl ug/L","2.42","Deans1"
"84","Deans","D2C",2,2022-08-16 13:20:07,"YSI Top DO mg/L","6.14","Deans1"
"85","Deans","D2C",2,2022-08-16 13:20:07,"YSI Top SPC","45.8","Deans1"
"86","Deans","D2C",2,2022-08-16 13:20:07,"YSI Top C","49","Deans1"
"87","Deans","D2C",2,2022-08-16 13:20:07,"YSI Top pH","9.42","Deans1"
"88","Deans","D2C",2,2022-08-16 13:20:07,"YSI Top PC ug/L","0.09","Deans1"
"89","Deans","D2C",2,2022-08-16 13:20:07,"YSI Bottom Temp","27.5","Deans1"
"90","Deans","D2C",2,2022-08-16 13:20:07,"YSI Bottom Pressure","752.4","Deans1"
"91","Deans","D2C",2,2022-08-16 13:20:07,"YSI Bottom Chl ug/L","6.64","Deans1"
"92","Deans","D2C",2,2022-08-16 13:20:07,"YSI Bottom DO mg/L","0.6","Deans1"
"93","Deans","D2C",2,2022-08-16 13:20:07,"YSI Bottom SPC","51","Deans1"
"94","Deans","D2C",2,2022-08-16 13:20:07,"YSI Bottom C","53.4","Deans1"
"95","Deans","D2C",2,2022-08-16 13:20:07,"YSI Bottom pH","9.31","Deans1"
"96","Deans","D2C",2,2022-08-16 13:20:07,"YSI Bottom PC ug/L","0.41","Deans1"
"97","Deans","D4A",2,2022-08-16 13:38:25,"YSI Top Temp","29","Deans1"
"98","Deans","D4A",2,2022-08-16 13:38:25,"YSI Top Pressure","752.3","Deans1"
"99","Deans","D4A",2,2022-08-16 13:38:25,"YSI Top Chl ug/L","2.69","Deans1"
"100","Deans","D4A",2,2022-08-16 13:38:25,"YSI Top DO mg/L","6.43","Deans1"
"101","Deans","D4A",2,2022-08-16 13:38:25,"YSI Top SPC","45.6","Deans1"
"102","Deans","D4A",2,2022-08-16 13:38:25,"YSI Top C","49.1","Deans1"
"103","Deans","D4A",2,2022-08-16 13:38:25,"YSI Top pH","8.83","Deans1"
"104","Deans","D4A",2,2022-08-16 13:38:25,"YSI Top PC ug/L","0.12","Deans1"
"105","Deans","D4A",2,2022-08-16 13:38:25,"YSI Bottom Temp","28.4","Deans1"
"106","Deans","D4A",2,2022-08-16 13:38:25,"YSI Bottom Pressure","752.2","Deans1"
"107","Deans","D4A",2,2022-08-16 13:38:25,"YSI Bottom Chl ug/L","5.09","Deans1"
"108","Deans","D4A",2,2022-08-16 13:38:25,"YSI Bottom DO mg/L","6.4","Deans1"
"109","Deans","D4A",2,2022-08-16 13:38:25,"YSI Bottom SPC","45.2","Deans1"
"110","Deans","D4A",2,2022-08-16 13:38:25,"YSI Bottom C","48.1","Deans1"
"111","Deans","D4A",2,2022-08-16 13:38:25,"YSI Bottom pH","8.91","Deans1"
"112","Deans","D4A",2,2022-08-16 13:38:25,"YSI Bottom PC ug/L","8.32","Deans1"
"113","Deans","D4C",2,2022-08-16 13:45:09,"YSI Top Temp","28.8","Deans1"
"114","Deans","D4C",2,2022-08-16 13:45:09,"YSI Top Pressure","752.2","Deans1"
"115","Deans","D4C",2,2022-08-16 13:45:09,"YSI Top Chl ug/L","2.88","Deans1"
"116","Deans","D4C",2,2022-08-16 13:45:09,"YSI Top DO mg/L","6.18","Deans1"
"117","Deans","D4C",2,2022-08-16 13:45:09,"YSI Top SPC","45.7","Deans1"
"118","Deans","D4C",2,2022-08-16 13:45:09,"YSI Top C","49","Deans1"
"119","Deans","D4C",2,2022-08-16 13:45:09,"YSI Top pH","8.71","Deans1"
"120","Deans","D4C",2,2022-08-16 13:45:09,"YSI Top PC ug/L","0.09","Deans1"
"121","Deans","D4C",2,2022-08-16 13:45:09,"YSI Bottom Temp","27.9","Deans1"
"122","Deans","D4C",2,2022-08-16 13:45:09,"YSI Bottom Pressure","752.2","Deans1"
"123","Deans","D4C",2,2022-08-16 13:45:09,"YSI Bottom Chl ug/L","2.91","Deans1"
"124","Deans","D4C",2,2022-08-16 13:45:09,"YSI Bottom DO mg/L","4.67","Deans1"
"125","Deans","D4C",2,2022-08-16 13:45:09,"YSI Bottom SPC","45.9","Deans1"
"126","Deans","D4C",2,2022-08-16 13:45:09,"YSI Bottom C","48.5","Deans1"
"127","Deans","D4C",2,2022-08-16 13:45:09,"YSI Bottom pH","8.69","Deans1"
"128","Deans","D4C",2,2022-08-16 13:45:09,"YSI Bottom PC ug/L","0.17","Deans1"
"129","Deans","D2A",3,2022-08-16 16:16:02,"YSI Top Temp","29.6","Deans1"
"130","Deans","D2A",3,2022-08-16 16:16:02,"YSI Top Pressure","751.2","Deans1"
"131","Deans","D2A",3,2022-08-16 16:16:02,"YSI Top Chl ug/L","2.67","Deans1"
"132","Deans","D2A",3,2022-08-16 16:16:02,"YSI Top DO mg/L","6.32","Deans1"
"133","Deans","D2A",3,2022-08-16 16:16:02,"YSI Top SPC","45.6","Deans1"
"134","Deans","D2A",3,2022-08-16 16:16:02,"YSI Top C","49.6","Deans1"
"135","Deans","D2A",3,2022-08-16 16:16:02,"YSI Top pH","10.86","Deans1"
"136","Deans","D2A",3,2022-08-16 16:16:02,"YSI Top PC ug/L","-0.21","Deans1"
"137","Deans","D2A",3,2022-08-16 16:16:02,"YSI Bottom Temp","28.3","Deans1"
"138","Deans","D2A",3,2022-08-16 16:16:02,"YSI Bottom Pressure","751.3","Deans1"
"139","Deans","D2A",3,2022-08-16 16:16:02,"YSI Bottom Chl ug/L","3.58","Deans1"
"140","Deans","D2A",3,2022-08-16 16:16:02,"YSI Bottom DO mg/L","5.71","Deans1"
"141","Deans","D2A",3,2022-08-16 16:16:02,"YSI Bottom SPC","45.5","Deans1"
"142","Deans","D2A",3,2022-08-16 16:16:02,"YSI Bottom C","48.4","Deans1"
"143","Deans","D2A",3,2022-08-16 16:16:02,"YSI Bottom pH","10.77","Deans1"
"144","Deans","D2A",3,2022-08-16 16:16:02,"YSI Bottom PC ug/L","0.24","Deans1"
"145","Deans","D2C",3,2022-08-16 16:33:30,"YSI Top Temp","29.5","Deans1"
"146","Deans","D2C",3,2022-08-16 16:33:30,"YSI Top Pressure","751.2","Deans1"
"147","Deans","D2C",3,2022-08-16 16:33:30,"YSI Top Chl ug/L","2.7","Deans1"
"148","Deans","D2C",3,2022-08-16 16:33:30,"YSI Top DO mg/L","6.46","Deans1"
"149","Deans","D2C",3,2022-08-16 16:33:30,"YSI Top SPC","45.7","Deans1"
"150","Deans","D2C",3,2022-08-16 16:33:30,"YSI Top C","49.6","Deans1"
"151","Deans","D2C",3,2022-08-16 16:33:30,"YSI Top pH","9.66","Deans1"
"152","Deans","D2C",3,2022-08-16 16:33:30,"YSI Top PC ug/L","0.09","Deans1"
"153","Deans","D2C",3,2022-08-16 16:33:30,"YSI Bottom Temp","27.8","Deans1"
"154","Deans","D2C",3,2022-08-16 16:33:30,"YSI Bottom Pressure","751.3","Deans1"
"155","Deans","D2C",3,2022-08-16 16:33:30,"YSI Bottom Chl ug/L","3.94","Deans1"
"156","Deans","D2C",3,2022-08-16 16:33:30,"YSI Bottom DO mg/L","2.21","Deans1"
"157","Deans","D2C",3,2022-08-16 16:33:30,"YSI Bottom SPC","46.7","Deans1"
"158","Deans","D2C",3,2022-08-16 16:33:30,"YSI Bottom C","49.2","Deans1"
"159","Deans","D2C",3,2022-08-16 16:33:30,"YSI Bottom pH","10.27","Deans1"
"160","Deans","D2C",3,2022-08-16 16:33:30,"YSI Bottom PC ug/L","0.22","Deans1"
"161","Deans","D4A",3,2022-08-16 16:53:27,"YSI Top Temp","29.7","Deans1"
"162","Deans","D4A",3,2022-08-16 16:53:27,"YSI Top Pressure","751.2","Deans1"
"163","Deans","D4A",3,2022-08-16 16:53:27,"YSI Top Chl ug/L","2.79","Deans1"
"164","Deans","D4A",3,2022-08-16 16:53:27,"YSI Top DO mg/L","6.65","Deans1"
"165","Deans","D4A",3,2022-08-16 16:53:27,"YSI Top SPC","45.7","Deans1"
"166","Deans","D4A",3,2022-08-16 16:53:27,"YSI Top C","49.7","Deans1"
"167","Deans","D4A",3,2022-08-16 16:53:27,"YSI Top pH","9.73","Deans1"
"168","Deans","D4A",3,2022-08-16 16:53:27,"YSI Top PC ug/L","-0.09","Deans1"
"169","Deans","D4A",3,2022-08-16 16:53:27,"YSI Bottom Temp","28.7","Deans1"
"170","Deans","D4A",3,2022-08-16 16:53:27,"YSI Bottom Pressure","751.2","Deans1"
"171","Deans","D4A",3,2022-08-16 16:53:27,"YSI Bottom Chl ug/L","4.46","Deans1"
"172","Deans","D4A",3,2022-08-16 16:53:27,"YSI Bottom DO mg/L","6.89","Deans1"
"173","Deans","D4A",3,2022-08-16 16:53:27,"YSI Bottom SPC","45.4","Deans1"
"174","Deans","D4A",3,2022-08-16 16:53:27,"YSI Bottom C","48.2","Deans1"
"175","Deans","D4A",3,2022-08-16 16:53:27,"YSI Bottom pH","10.1","Deans1"
"176","Deans","D4A",3,2022-08-16 16:53:27,"YSI Bottom PC ug/L","0.15","Deans1"
"177","Deans","D4C",3,2022-08-16 16:59:39,"YSI Top Temp","29.7","Deans1"
"178","Deans","D4C",3,2022-08-16 16:59:39,"YSI Top Pressure","751.4","Deans1"
"179","Deans","D4C",3,2022-08-16 16:59:39,"YSI Top Chl ug/L","2.93","Deans1"
"180","Deans","D4C",3,2022-08-16 16:59:39,"YSI Top DO mg/L","6.55","Deans1"
"181","Deans","D4C",3,2022-08-16 16:59:39,"YSI Top SPC","45.8","Deans1"
"182","Deans","D4C",3,2022-08-16 16:59:39,"YSI Top C","49.9","Deans1"
"183","Deans","D4C",3,2022-08-16 16:59:39,"YSI Top pH","9.71","Deans1"
"184","Deans","D4C",3,2022-08-16 16:59:39,"YSI Top PC ug/L","0.2","Deans1"
"185","Deans","D4C",3,2022-08-16 16:59:39,"YSI Bottom Temp","27.9","Deans1"
"186","Deans","D4C",3,2022-08-16 16:59:39,"YSI Bottom Pressure","751.3","Deans1"
"187","Deans","D4C",3,2022-08-16 16:59:39,"YSI Bottom Chl ug/L","8.14","Deans1"
"188","Deans","D4C",3,2022-08-16 16:59:39,"YSI Bottom DO mg/L","3.77","Deans1"
"189","Deans","D4C",3,2022-08-16 16:59:39,"YSI Bottom SPC","46.1","Deans1"
"190","Deans","D4C",3,2022-08-16 16:59:39,"YSI Bottom C","48.7","Deans1"
"191","Deans","D4C",3,2022-08-16 16:59:39,"YSI Bottom pH","10.06","Deans1"
"192","Deans","D4C",3,2022-08-16 16:59:39,"YSI Bottom PC ug/L","0.59","Deans1"
"193","Deans","D2A",4,2022-08-16 19:15:37,"YSI Top Temp","29.5","Deans1"
"194","Deans","D2A",4,2022-08-16 19:15:37,"YSI Top Pressure","750.7","Deans1"
"195","Deans","D2A",4,2022-08-16 19:15:37,"YSI Top Chl ug/L","3.4","Deans1"
"196","Deans","D2A",4,2022-08-16 19:15:37,"YSI Top DO mg/L","7.13","Deans1"
"197","Deans","D2A",4,2022-08-16 19:15:37,"YSI Top SPC","45.4","Deans1"
"198","Deans","D2A",4,2022-08-16 19:15:37,"YSI Top C","49.2","Deans1"
"199","Deans","D2A",4,2022-08-16 19:15:37,"YSI Top pH","10.82","Deans1"
"200","Deans","D2A",4,2022-08-16 19:15:37,"YSI Top PC ug/L","0.04","Deans1"
"201","Deans","D2A",4,2022-08-16 19:15:37,"YSI Bottom Temp","29","Deans1"
"202","Deans","D2A",4,2022-08-16 19:15:37,"YSI Bottom Pressure","750.7","Deans1"
"203","Deans","D2A",4,2022-08-16 19:15:37,"YSI Bottom Chl ug/L","4.4000000000000004","Deans1"
"204","Deans","D2A",4,2022-08-16 19:15:37,"YSI Bottom DO mg/L","6.97","Deans1"
"205","Deans","D2A",4,2022-08-16 19:15:37,"YSI Bottom SPC","45.2","Deans1"
"206","Deans","D2A",4,2022-08-16 19:15:37,"YSI Bottom C","48.6","Deans1"
"207","Deans","D2A",4,2022-08-16 19:15:37,"YSI Bottom pH","10.77","Deans1"
"208","Deans","D2A",4,2022-08-16 19:15:37,"YSI Bottom PC ug/L","0.1","Deans1"
"209","Deans","D2C",4,2022-08-16 19:23:14,"YSI Top Temp","29.4","Deans1"
"210","Deans","D2C",4,2022-08-16 19:23:14,"YSI Top Pressure","750.8","Deans1"
"211","Deans","D2C",4,2022-08-16 19:23:14,"YSI Top Chl ug/L","2.4","Deans1"
"212","Deans","D2C",4,2022-08-16 19:23:14,"YSI Top DO mg/L","6.71","Deans1"
"213","Deans","D2C",4,2022-08-16 19:23:14,"YSI Top SPC","45.8","Deans1"
"214","Deans","D2C",4,2022-08-16 19:23:14,"YSI Top C","49.6","Deans1"
"215","Deans","D2C",4,2022-08-16 19:23:14,"YSI Top pH","10.31","Deans1"
"216","Deans","D2C",4,2022-08-16 19:23:14,"YSI Top PC ug/L","0.08","Deans1"
"217","Deans","D2C",4,2022-08-16 19:23:14,"YSI Bottom Temp","27.7","Deans1"
"218","Deans","D2C",4,2022-08-16 19:23:14,"YSI Bottom Pressure","750.7","Deans1"
"219","Deans","D2C",4,2022-08-16 19:23:14,"YSI Bottom Chl ug/L","3.8","Deans1"
"220","Deans","D2C",4,2022-08-16 19:23:14,"YSI Bottom DO mg/L","1.3","Deans1"
"221","Deans","D2C",4,2022-08-16 19:23:14,"YSI Bottom SPC","47.5","Deans1"
"222","Deans","D2C",4,2022-08-16 19:23:14,"YSI Bottom C","50","Deans1"
"223","Deans","D2C",4,2022-08-16 19:23:14,"YSI Bottom pH","10.08","Deans1"
"224","Deans","D2C",4,2022-08-16 19:23:14,"YSI Bottom PC ug/L","0.3","Deans1"
"225","Deans","D4A",4,2022-08-16 19:40:29,"YSI Top Temp","29.3","Deans1"
"226","Deans","D4A",4,2022-08-16 19:40:29,"YSI Top Pressure","751.1","Deans1"
"227","Deans","D4A",4,2022-08-16 19:40:29,"YSI Top Chl ug/L","3.75","Deans1"
"228","Deans","D4A",4,2022-08-16 19:40:29,"YSI Top DO mg/L","7.11","Deans1"
"229","Deans","D4A",4,2022-08-16 19:40:29,"YSI Top SPC","45.1","Deans1"
"230","Deans","D4A",4,2022-08-16 19:40:29,"YSI Top C","48.8","Deans1"
"231","Deans","D4A",4,2022-08-16 19:40:29,"YSI Top pH","9.54","Deans1"
"232","Deans","D4A",4,2022-08-16 19:40:29,"YSI Top PC ug/L","0.07","Deans1"
"233","Deans","D4A",4,2022-08-16 19:40:29,"YSI Bottom Temp","29.1","Deans1"
"234","Deans","D4A",4,2022-08-16 19:40:29,"YSI Bottom Pressure","751.3","Deans1"
"235","Deans","D4A",4,2022-08-16 19:40:29,"YSI Bottom Chl ug/L","4.5","Deans1"
"236","Deans","D4A",4,2022-08-16 19:40:29,"YSI Bottom DO mg/L","7.05","Deans1"
"237","Deans","D4A",4,2022-08-16 19:40:29,"YSI Bottom SPC","45","Deans1"
"238","Deans","D4A",4,2022-08-16 19:40:29,"YSI Bottom C","48.5","Deans1"
"239","Deans","D4A",4,2022-08-16 19:40:29,"YSI Bottom pH","9.8","Deans1"
"240","Deans","D4A",4,2022-08-16 19:40:29,"YSI Bottom PC ug/L","0.05","Deans1"
"241","Deans","D4C",4,2022-08-16 19:47:21,"YSI Top Temp","29.1","Deans1"
"242","Deans","D4C",4,2022-08-16 19:47:21,"YSI Top Pressure","751.3","Deans1"
"243","Deans","D4C",4,2022-08-16 19:47:21,"YSI Top Chl ug/L","2.8","Deans1"
"244","Deans","D4C",4,2022-08-16 19:47:21,"YSI Top DO mg/L","6.72","Deans1"
"245","Deans","D4C",4,2022-08-16 19:47:21,"YSI Top SPC","45.7","Deans1"
"246","Deans","D4C",4,2022-08-16 19:47:21,"YSI Top C","49.4","Deans1"
"247","Deans","D4C",4,2022-08-16 19:47:21,"YSI Top pH","9.81","Deans1"
"248","Deans","D4C",4,2022-08-16 19:47:21,"YSI Top PC ug/L","0.07","Deans1"
"249","Deans","D4C",4,2022-08-16 19:47:21,"YSI Bottom Temp","27.9","Deans1"
"250","Deans","D4C",4,2022-08-16 19:47:21,"YSI Bottom Pressure","751.4","Deans1"
"251","Deans","D4C",4,2022-08-16 19:47:21,"YSI Bottom Chl ug/L","7.1","Deans1"
"252","Deans","D4C",4,2022-08-16 19:47:21,"YSI Bottom DO mg/L","2.8","Deans1"
"253","Deans","D4C",4,2022-08-16 19:47:21,"YSI Bottom SPC","46.7","Deans1"
"254","Deans","D4C",4,2022-08-16 19:47:21,"YSI Bottom C","49.2","Deans1"
"255","Deans","D4C",4,2022-08-16 19:47:21,"YSI Bottom pH","10","Deans1"
"256","Deans","D4C",4,2022-08-16 19:47:21,"YSI Bottom PC ug/L","0.45","Deans1"
"257","Deans","D2A",5,2022-08-16 22:10:00,"YSI Top Temp","28.7","Deans1"
"258","Deans","D2A",5,2022-08-16 22:10:00,"YSI Top Pressure","752.6","Deans1"
"259","Deans","D2A",5,2022-08-16 22:10:00,"YSI Top Chl ug/L","3.5","Deans1"
"260","Deans","D2A",5,2022-08-16 22:10:00,"YSI Top DO mg/L","6.76","Deans1"
"261","Deans","D2A",5,2022-08-16 22:10:00,"YSI Top SPC","45.5","Deans1"
"262","Deans","D2A",5,2022-08-16 22:10:00,"YSI Top C","48.8","Deans1"
"263","Deans","D2A",5,2022-08-16 22:10:00,"YSI Top pH","10.3","Deans1"
"264","Deans","D2A",5,2022-08-16 22:10:00,"YSI Top PC ug/L","0.09","Deans1"
"265","Deans","D2A",5,2022-08-16 22:10:00,"YSI Bottom Temp","28.3","Deans1"
"266","Deans","D2A",5,2022-08-16 22:10:00,"YSI Bottom Pressure","752.6","Deans1"
"267","Deans","D2A",5,2022-08-16 22:10:00,"YSI Bottom Chl ug/L","6.0 - 12.0","Deans1"
"268","Deans","D2A",5,2022-08-16 22:10:00,"YSI Bottom DO mg/L","5.2","Deans1"
"269","Deans","D2A",5,2022-08-16 22:10:00,"YSI Bottom SPC","45.9","Deans1"
"270","Deans","D2A",5,2022-08-16 22:10:00,"YSI Bottom C","49.5","Deans1"
"271","Deans","D2A",5,2022-08-16 22:10:00,"YSI Bottom pH","10.74","Deans1"
"272","Deans","D2A",5,2022-08-16 22:10:00,"YSI Bottom PC ug/L","1.1","Deans1"
"273","Deans","D2C",5,2022-08-16 22:15:28,"YSI Top Temp","28.7","Deans1"
"274","Deans","D2C",5,2022-08-16 22:15:28,"YSI Top Pressure","752.6","Deans1"
"275","Deans","D2C",5,2022-08-16 22:15:28,"YSI Top Chl ug/L","2.75","Deans1"
"276","Deans","D2C",5,2022-08-16 22:15:28,"YSI Top DO mg/L","6.57","Deans1"
"277","Deans","D2C",5,2022-08-16 22:15:28,"YSI Top SPC","45.6","Deans1"
"278","Deans","D2C",5,2022-08-16 22:15:28,"YSI Top C","48.9","Deans1"
"279","Deans","D2C",5,2022-08-16 22:15:28,"YSI Top pH","10.45","Deans1"
"280","Deans","D2C",5,2022-08-16 22:15:28,"YSI Top PC ug/L","0.02","Deans1"
"281","Deans","D2C",5,2022-08-16 22:15:28,"YSI Bottom Temp","27.5","Deans1"
"282","Deans","D2C",5,2022-08-16 22:15:28,"YSI Bottom Pressure","752.6","Deans1"
"283","Deans","D2C",5,2022-08-16 22:15:28,"YSI Bottom Chl ug/L","5.2","Deans1"
"284","Deans","D2C",5,2022-08-16 22:15:28,"YSI Bottom DO mg/L","0.58","Deans1"
"285","Deans","D2C",5,2022-08-16 22:15:28,"YSI Bottom SPC","48.9","Deans1"
"286","Deans","D2C",5,2022-08-16 22:15:28,"YSI Bottom C","51.2","Deans1"
"287","Deans","D2C",5,2022-08-16 22:15:28,"YSI Bottom pH","10.71","Deans1"
"288","Deans","D2C",5,2022-08-16 22:15:28,"YSI Bottom PC ug/L","0.35","Deans1"
"289","Deans","D4A",5,2022-08-16 22:37:10,"YSI Top Temp","28.6","Deans1"
"290","Deans","D4A",5,2022-08-16 22:37:10,"YSI Top Pressure","752.6","Deans1"
"291","Deans","D4A",5,2022-08-16 22:37:10,"YSI Top Chl ug/L","3.8","Deans1"
