Location,trip,trap.number,anemometer,date,diffusive.start,diffusive.end,wolffia
Pick,4,P5B,0.0/0.0,6/20/2022,21:43:19.476,21:44:28.379,yes
Pick,4,P5C,0.1/0.0,6/20/2022,21.39:49.579,21:41:07.581,yes
Pick,4,P5D,0.0/0.0,6/20/2022,21:37:19.581,21:38:32.580,yes
Pick,4,P5E,0.0/0.0,6/20/2022,21:33:52.577,21:35:01.580,yes
Pick,6,P1A,0.3,6/21/2022,5:23:16.000,5:24:27.581,no
Pick,6,P1B,,6/21/2022,,,no
Pick,6,P1C,0.1,6/21/2022,5:26:57.379,5:28:37.307,no
Pick,6,P1D,,6/21/2022,,,no
Pick,6,P1E,0,6/21/2022,5:32:09.876,5:33:49.677,no
Pick,6,P2A,0,6/21/2022,5:37:15.380,5:40:41.080,no
Pick,6,P2B,,6/21/2022,,,no
Pick,6,P2C,0,6/21/2022,5:34:02.876,5:46:02.679,no
Pick,6,P2D,,6/21/2022,,,no
Pick,6,P2E,0,6/21/2022,5:48:54.575,5:50:13.517,yes
Pick,5,P1A,0.1,6/21/2022,0:50:30.162,0:51:53.965,no
Pick,5,P1B,,6/21/2022,,,no
Pick,5,P1C,0.3,6/21/2022,0:57:05.560,0:58:31.369,no
Pick,5,P1D,,6/21/2022,,,no
Pick,5,P1E,0,6/21/2022,1:02:00.863,1:02:31.665,no
Pick,5,P2A,0,6/21/2022,1:11:33.168,1:13:47.064,no
Pick,5,P2B,,6/21/2022,,,no
Pick,5,P2C,0.3,6/21/2022,1:17:17.970,1:19:18.762,no
Pick,5,P2D,,6/21/2022,,,no
Pick,5,P2E,,6/21/2022,1:23:27.565,1:25:09.274,no
Pick,5,P3A,0,6/21/2022,1:28:27.264,1:29:50.166,yes
Pick,5,P3B,,6/21/2022,,,yes
Pick,5,P3C,0,6/21/2022,1:32:38.970,1:34:00.869,yes
Pick,5,P3D,,6/21/2022,,,yes
Pick,5,P3E,0.1,6/21/2022,1:37:04.673,1:38:56.670,yes
Pick,5,P4A,0,6/21/2022,1:44:41.560,1:47:03.471,yes
Pick,5,P4B,,6/21/2022,,,yes
Pick,5,P4C,0,6/21/2022,1:54:41.166,1:57:21.167,yes
Pick,5,P4D,,6/21/2022,,,yes
Pick,5,P4E,0.4,6/21/2022,2:02:27.171,2:04:02.079,yes
Pick,5,P5A,0,6/21/2022,2:17:47.674,2:19:35.672,yes
Pick,5,P5B,,6/21/2022,,,yes
Pick,5,P5C,,6/21/2022,2:12:32.771,2:13:34.708,yes
Pick,5,P5D,,6/21/2022,,,yes
Pick,5,P5E,,6/21/2022,2:07:01.972,2:08:22.872,yes
Pick,6,P3A,0.0/0.0,6/21/2022,6:24:09.997,6:26:09.681,yes
Pick,6,P3B,0.0/0.0,6/21/2022,,,yes
Pick,6,P3C,0.2/0.2,6/21/2022,6:35:12.461,6:36:43.179,yes
Pick,6,P3D,,6/21/2022,,,yes
Pick,6,P3E,0.4/0.4,6/21/2022,6:41:07.862,6:42:46.667,yes
Pick,6,P4A,,6/21/2022,6:46:29.266,6:48:47.065,yes
Pick,6,P4B,,6/21/2022,,,yes
Pick,6,P4C,0.0/0.2,6/21/2022,6:52:18.969,6:53:45.865,yes
Pick,6,P4D,,6/21/2022,,,yes
Pick,6,P4E,0.4/0.4,6/21/2022,6:58:45.568,7:00:22.464,yes
Pick,6,P5A,0.2/0.4,6/21/2022,7:15:04.571,7:18:30.495,yes
Pick,6,P5B,,6/21/2022,,,yes
Pick,6,P5C,0.4/0.5,6/21/2022,7:10:57.866,7:12:12.866,yes
Pick,6,P5D,,6/21/2022,,,yes
Pick,6,P5E,0.1,6/21/2022,7:05:15.067,7:07:10.870,yes
Pick,1,P1A,,7/12/2022,,,yes
Pick,1,P1B,0.2/0.3,7/12/2022,10:15:13.473,10:17:24.366,yes
Pick,1,P1C,,7/12/2022,,,yes
Pick,1,P1D,,7/12/2022,,,yes
Pick,1,P1E,0.1/0.2,7/12/2022,10:20:10.169,10:21:39.171,yes
Pick,1,P2A,0.0/0.0,7/12/2022,10:31:09.670,10:33:15.670,yes
Pick,1,P2B,,7/12/2022,,,yes
Pick,1,P2C,0.0/0.1,7/12/2022,10:54:51.774,10:57:33.666,yes
Pick,1,P2D,0.0/0.0,7/12/2022,11:06:13.373,11:08:18.372,yes
Pick,1,P2E,,7/12/2022,,,yes
Pick,1,P3A,,7/12/2022,,,yes
Pick,1,P3B,0.1/0.4,7/12/2022,11:12:46.274,11:14:33.270,yes
Pick,1,P3C,,7/12/2022,,,yes
Pick,1,P3D,,7/12/2022,,,yes
Pick,1,P3E,0.5/0.1,7/12/2022,11:17:15.270,11:18:39.272,yes
Pick,1,P4A,0.0/0.0,7/12/2022,11:21:27.171,11:26:18.173,yes
Pick,1,P4B,,7/12/2022,,,yes
Pick,1,P4C,0.0/0.0,7/12/2022,11:31:46.983,11:35:11.976,yes
Pick,1,P4D,0.7/0.1,7/12/2022,11:40:39.877,11:42:08.894,yes
Pick,1,P4E,,7/12/2022,,,yes
Pick,1,P5A,,7/12/2022,,,yes
Pick,1,P5B,0.2/0.2,7/12/2022,11:51:28.779,11:53:45.777,yes
Pick,1,P5C,,7/12/2022,,,yes
Pick,1,P5D,,7/12/2022,,,yes
Pick,1,P5E,0.2/0.4,7/12/2022,11:45:28.783,11:47:48.780,yes
Pick,2,P1A,,7/12/2022,,,yes
Pick,2,P1B,0.5/0.9,7/12/2022,12:56:57.886,12:59:10.579,yes
Pick,2,P1C,,7/12/2022,,,yes
Pick,2,P1D,,7/12/2022,,,yes
Pick,2,P1E,0.9/0.4,7/12/2022,13:02:40.586,13:04:13.393,yes
Pick,2,P2A,0.0/0.0,7/12/2022,13:07:16.989,13:11:01.580,yes
Pick,2,P2B,,7/12/2022,,,no
Pick,2,P2C,0.0/0.0,7/12/2022,13:14:00.185,13:16:55.984,yes
Pick,2,P2D,0.0/0.0,7/12/2022,13:21:07.984,13:22:49.387,yes
Pick,2,P2E,,7/12/2022,,,yes
Pick,2,P3A,,7/12/2022,,,yes
Pick,2,P3B,0.4/0.1,7/12/2022,13:28:00.187,13:30:08.185,yes
Pick,2,P3C,,7/12/2022,,,yes
Pick,2,P3D,,7/12/2022,,,yes
Pick,2,P3E,0.0/0.1,7/12/2022,13:33:43.987,13:34:55.885,yes
Pick,2,P4A,0.1/0.2,7/12/2022,13:38:38.886,13:41:11.787,yes
Pick,2,P4B,,7/12/2022,,,yes
Pick,2,P4C,0.1/0.4,7/12/2022,13:46:12.388,13:48:17.292,yes
Pick,2,P4D,0.0/0.0,7/12/2022,13:52:31.195,13:53:56.191,yes
Pick,2,P4E,,7/12/2022,,,yes
Pick,2,P5A,,7/12/2022,,,yes
Pick,2,P5B,0.0/0.0,7/12/2022,14:04:15.888,14:07:56.798,yes
Pick,2,P5C,,7/12/2022,,,yes
Pick,2,P5D,,7/12/2022,,,yes
Pick,2,P5E,0.0/0.0,7/12/2022,13:57:25.090,13:59:38.988,yes
Pick,3,P1A,,7/12/2022,,,yes
Pick,3,P1B,0.3/0.4,7/12/2022,15:29:58.679,15:31:34.461,yes
Pick,3,P1C,,7/12/2022,,,yes
Pick,3,P1D,,7/12/2022,,,yes
Pick,3,P1E,0.0/0.0,7/12/2022,15:35:10.957,15:36:23.853,yes
Pick,3,P2A,0.0/0.0,7/12/2022,15:39:21.658,15:41:54.152,yes
Pick,3,P2B,,7/12/2022,,,yes
Pick,3,P2C,0.2/0.2,7/12/2022,15:44:15.861,15:47:45.461,yes
Pick,3,P2D,0.2/0.1,7/12/2022,15:49:38.357,15:51:45.152,yes
Pick,3,P2E,,7/12/2022,,,yes
Pick,3,P3A,,7/12/2022,,,yes
Pick,3,P3B,0.0/0.0,7/12/2022,15:55:32.764,15:57:59.560,yes
Pick,3,P3C,,7/12/2022,,,yes
Pick,3,P3D,,7/12/2022,,,yes
Pick,3,P3E,0.3/0.4,7/12/2022,16:03:18.158,16:05:30.059,yes
Pick,3,P4A,0.0/0.0,7/12/2022,16:08:35.857,16:12:24.661,yes
Pick,3,P4B,,7/12/2022,,,yes
Pick,3,P4C,0.1/0.1,7/12/2022,16:15:41.367,16:18:21.180,yes
Pick,3,P4D,0.2/0.1,7/12/2022,16:20:21.956,16:21:52.962,yes
Pick,3,P4E,,7/12/2022,,,yes
Pick,3,P5A,,7/12/2022,,,yes
Pick,3,P5B,0.5/0.7,7/12/2022,16:36:07.364,16:39:10.961,yes
Pick,3,P5C,,7/12/2022,,,yes
Pick,3,P5D,,7/12/2022,,,yes
Pick,3,P5E,0.3/0.7,7/12/2022,16:25:41.664,16:28:50.559,yes
Pick,4,P1A,,7/12/2022,,,yes
Pick,4,P1B,0.4,7/12/2022,18:20:45.972,18:22:05.975,yes
Pick,4,P1C,,7/12/2022,,,yes
Pick,4,P1D,,7/12/2022,,,yes
Pick,4,P1E,0.2,7/12/2022,18:27:25.571,18:29:21.571,yes
Pick,4,P2A,0.1,7/12/2022,18:32:00.371,18:34:58.074,yes
Pick,4,P2B,,7/12/2022,,,yes
Pick,4,P2C,0.1,7/12/2022,18:37:50.073,18:40:41.676,yes
Pick,4,P2D,0.1,7/12/2022,18:44:39.276,18:46:40.272,yes
Pick,4,P2E,,7/12/2022,,,yes
Pick,4,P3A,,7/12/2022,,,yes
Pick,4,P3B,0.5,7/12/2022,18:50:34.210,18:52:34.973,yes
Pick,4,P3C,,7/12/2022,,,yes
Pick,4,P3D,,7/12/2022,,,yes
Pick,4,P3E,0.1,7/12/2022,18:57:32.978,18:58:45.774,yes
Pick,4,P4A,0,7/12/2022,19:01:48.375,19:04:53.275,yes
Pick,4,P4B,,7/12/2022,,,yes
Pick,4,P4C,0.1,7/12/2022,19:13:02.878,19:18:02.775,yes
Pick,4,P4D,0,7/12/2022,19:19:44.676,19:20:43.678,yes
Pick,4,P4E,,7/12/2022,,,yes
Pick,4,P5A,,7/12/2022,,,yes
Pick,4,P5B,0,7/12/2022,19:34:59.393,19:37:23.372,yes
Pick,4,P5C,,7/12/2022,,,yes
Pick,4,P5D,,7/12/2022,,,yes
Pick,4,P5E,0,7/12/2022,19:27:20.570,19:30:56.476,yes
Pick,5,P1A,,7/12/2022,,,yes
Pick,5,P1B,0,7/12/2022,21:24:31.093,21:26:38.903,yes
Pick,5,P1C,,7/12/2022,,,yes
Pick,5,P1D,,7/12/2022,,,yes
Pick,5,P1E,0,7/12/2022,21:29:45.470,21:32:09.170,yes
Pick,5,P2A,0,7/12/2022,21:35:11.969,21:37:35.669,yes
Pick,5,P2B,,7/12/2022,,,yes
Pick,5,P2C,0,7/12/2022,21:41:37.273,21:43:13.194,yes
Pick,5,P2D,0,7/12/2022,21:45:14.170,21:47:17.027,yes
Pick,5,P2E,,7/12/2022,,,yes
Pick,5,P3A,,7/12/2022,,,yes
Pick,5,P3B,0,7/12/2022,21:51:22.675,21:52:43.668,yes
Pick,5,P3C,,7/12/2022,,,yes
Pick,5,P3D,,7/12/2022,,,yes
Pick,5,P3E,0,7/12/2022,21:56:57.365,21:59:02.184,yes
Pick,5,P4A,0,7/12/2022,22:01:34.117,22:04:49.269,yes
Pick,5,P4B,,7/12/2022,,,yes
Pick,5,P4C,0,7/12/2022,22:06:40.774,22:09:13.776,yes
Pick,5,P4D,0.4,7/12/2022,22:11:01.603,22:12:10.575,yes
Pick,5,P4E,,7/12/2022,,,yes
Pick,5,P5A,,7/12/2022,,,yes
Pick,5,P5B,0,7/12/2022,22:20:17.170,22:22:14.072,yes
Pick,5,P5C,,7/12/2022,,,yes
Pick,5,P5D,,7/12/2022,,,yes
Pick,5,P5E,0,7/12/2022,22:15:20.373,22:17:01.275,yes
Pick,6,P1A,,7/13/2022,,,yes
Pick,6,P1B,0,7/13/2022,01:22:17.961,01:24:18.878,yes
Pick,6,P1C,,7/13/2022,,,yes
Pick,6,P1D,,7/13/2022,,,yes
Pick,6,P1E,0.2,7/13/2022,01:28:27.465,01:29:16.368,yes
Pick,6,P2A,0,7/13/2022,01:34:27.869,01:36:18.765,yes
Pick,6,P2B,,7/13/2022,,,yes
Pick,6,P2C,0,7/13/2022,01:39:22.773,01:43:08.681,yes
Pick,6,P2D,0,7/13/2022,01:45:08.468,01:47:06.378,yes
Pick,6,P2E,,7/13/2022,,,yes
Pick,6,P3A,,7/13/2022,,,yes
Pick,6,P3B,0,7/13/2022,01:51:39.373,01:53:15.368,yes
Pick,6,P3C,,7/13/2022,,,yes
Pick,6,P3D,,7/13/2022,,,yes
Pick,6,P3E,0,7/13/2022,01:56:41.368,01:58:28.368,yes
Pick,6,P4A,0,7/13/2022,02:01:51.275,02:06:53.270,yes
Pick,6,P4B,,7/13/2022,,,yes
Pick,6,P4C,0,7/13/2022,02:09:46.265,02:12:50.271,yes
Pick,6,P4D,0.1,7/13/2022,02:16:52.271,02:18:17.274,yes
Pick,6,P4E,,7/13/2022,,,yes
Pick,6,P5A,,7/13/2022,,,yes
Pick,6,P5B,0,7/13/2022,02:27:51.877,02:29:36.876,yes
Pick,6,P5C,,7/13/2022,,,yes
Pick,6,P5D,,7/13/2022,,,yes
Pick,6,P5E,0,7/13/2022,02:21:21.176,02:22:39.178,yes
Pick,7,P1A,,7/13/2022,,,yes
Pick,7,P1B,0,7/13/2022,05:16:08.174,05:17:31.891,yes
Pick,7,P1C,,7/13/2022,,,yes
Pick,7,P1D,,7/13/2022,,,yes
Pick,7,P1E,0,7/13/2022,05:24:03.572,05:25:04.487,yes
Pick,7,P2A,0,7/13/2022,05:30:48.774,05:33:30.581,yes
Pick,7,P2B,,7/13/2022,,,yes
Pick,7,P2C,0,7/13/2022,05:38:41.274,05:41:23.275,yes
Pick,7,P2D,0,7/13/2022,05:45:24.978,05:46:53.880,yes
Pick,7,P2E,,7/13/2022,,,yes
Pick,7,P3A,,7/13/2022,,,yes
Pick,7,P3B,0,7/13/2022,05:54:06.182,05:55:35.179,yes
Pick,7,P3C,,7/13/2022,,,yes
Pick,7,P3D,,7/13/2022,,,yes
Pick,7,P3E,0,7/13/2022,06:01:59.884,06:03:47.875,yes
Pick,7,P4A,0,7/13/2022,06:07:50.877,06:11:30.784,yes
Pick,7,P4B,,7/13/2022,,,yes
Pick,7,P4C,0,7/13/2022,06:16:28.686,06:20:47.482,yes
Pick,7,P4D,0,7/13/2022,06:23:04.486,06:24:22.332,yes
Pick,7,P4E,,7/13/2022,,,yes
Pick,7,P5A,,7/13/2022,,,yes
Pick,7,P5B,0,7/13/2022,06:35:34.986,06:38:07.983,yes
Pick,7,P5C,,7/13/2022,,,yes
Pick,7,P5D,,7/13/2022,,,yes
Pick,7,P5E,0,7/13/2022,06:28:35.384,06:30:12.385,yes
Pick,8,P1A,,7/13/2022,,,yes
Pick,8,P1B,0.0/0.0,7/13/2022,08:28:02.574,08:29:21.469,yes
Pick,8,P1C,,7/13/2022,,,yes
Pick,8,P1D,,7/13/2022,,,yes
Pick,8,P1E,0.0/0.0,7/13/2022,08:31:14.370,08:32:07.569,yes
Pick,8,P2A,0.0/0.0,7/13/2022,08:34:07.170,08:37:47.568,yes
Pick,8,P2B,,7/13/2022,,,yes
Pick,8,P2C,0.0/0.0,7/13/2022,08:39:41.468,08:41:02.373,yes
Pick,8,P2D,0.0/0.0,7/13/2022,08:45:16.868,08:47:15.772,yes
Pick,8,P2E,,7/13/2022,,,yes
Pick,8,P3A,,7/13/2022,,,yes
Pick,8,P3B,0.0/0.0,7/13/2022,08:58:55.897,09:01:29.40,yes
Pick,8,P3C,,7/13/2022,,,yes
Pick,8,P3D,,7/13/2022,,,yes
Pick,8,P3E,0.0/0.0,7/13/2022,09:03:42.094,09:06:04.630,yes
Pick,8,P4A,0.0/0.0,7/13/2022,09:08:27.316,09:10:44.093,yes
Pick,8,P4B,,7/13/2022,,,yes
Pick,8,P4C,0.0/0.0,7/13/2022,09:12:16.828,09:14:11.590,yes
Pick,8,P4D,0.5/0.3,7/13/2022,09:15:37.494,09:17:20.192,yes
Pick,8,P4E,,7/13/2022,,,yes
Pick,8,P5A,,7/13/2022,,,yes
Pick,8,P5B,0.3/0.4,7/13/2022,09:23:36.596,09:26:54.225,yes
Pick,8,P5C,,7/13/2022,,,yes
Pick,8,P5D,,7/13/2022,,,yes
Pick,8,P5E,0.4/0.8,7/13/2022,09:19:02.996,09:21:43.795,yes
