Location,Trap #,Trip,Date,Gas Vol,Vial #,Emptied?,Anemometer,Start,End,YSI Top Temp,YSI Top Pressure,YSI Top Chl ug/L,YSI Top DO mg/L,YSI Top SPC,YSI Top C,YSI Top pH,YSI Top PC ug/L,YSI Bottom Temp,YSI Bottom Pressure,YSI Bottom Chl ug/L,YSI Bottom DO mg/L,YSI Bottom SPC,YSI Bottom C,YSI Bottom pH,YSI Bottom PC ug/L,Macrophyte/Shade,Notes
Deans,D2A,2,8/16/2022,0.2,N/A,No,5.8/4.3,13:14:19.460,13:18:38.169,28.6,752.4,2.36,6.24,45.4,48.6,11.13,0.12,28.3,752.4,3.75,5.49,45.6,48.3,10.55,1.31,Sunny,
Deans,D2B,2,8/16/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,Sunny,
Deans,D2C,2,8/16/2022,0,N/A,No,2.0/1.6,13:20:07.964,13:25:45.467,28.7,752.3,2.42,6.14,45.8,49,9.42,0.09,27.5,752.4,6.64,0.6,51,53.4,9.31,0.41,Sunny,
Deans,D2D,2,8/16/2022,0,N/A,No,1.6/0.4,13:27:30.370,13:29:24.197,,,,,,,,,,,,,,,,,Sunny,
Deans,D2E,2,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Sunny,
Deans,D3A,2,8/16/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,Sunny,
Deans,D3B,2,8/16/2022,0,N/A,No,2.9/3.2,13:31:56.963,13:33:07.764,,,,,,,,,,,,,,,,,Sunny,
Deans,D3C,2,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Sunny,
Deans,D3D,2,8/16/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,,,Sunny,
Deans,D3E,2,8/16/2022,0.05,N/A,No,0.7/0.4,13:35:06.582,13:36:31.567,,,,,,,,,,,,,,,,,Sunny,
Deans,D4A,2,8/16/2022,0,N/A,No,1.4/3.2,13:38:25.471,13:42:54.967,29,752.3,2.69,6.43,45.6,49.1,8.83,0.12,28.4,752.2,5.09,6.4,45.2,48.1,8.91,8.32,Sunny,
Deans,D4B,2,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Sunny,
Deans,D4C,2,8/16/2022,0,N/A,No,0.4/1.1,13:45:09.665,13:49:10.662,28.8,752.2,2.88,6.18,45.7,49,8.71,0.09,27.9,752.2,2.91,4.67,45.9,48.5,8.69,0.17,Sunny,
Deans,D4D,2,8/16/2022,1,N/A,No,0.2/0.0,13:51:42.461,13:52:42.367,,,,,,,,,,,,,,,,,Sunny,
Deans,D4E,2,8/16/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,,,Sunny,
Deans,D5A,2,8/16/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,,,Sunny,
Deans,D5B,2,8/16/2022,0.2,N/A,No,9.4/5.0,13:55:19.262,13:56:38.176,,,,,,,,,,,,,,,,,Sunny,
Deans,D5C,2,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Sunny,
Deans,D5D,2,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Sunny,
Deans,D5E,2,8/16/2022,1,N/A,No,3.4/2.2,13:58:49.167,13:59:52.071,,,,,,,,,,,,,,,,,Shade,
Deans,D1A,3,8/16/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1B,3,8/16/2022,0.2,N/A,No,0.7/0.4,16:07:12.323,16:08:18.185,,,,,,,,,,,,,,,,,Overcast,
Deans,D1C,3,8/16/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1D,3,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1E,3,8/16/2022,0.1,N/A,No,0.2/0.0,16:10:46.990,16:12:23.702,,,,,,,,,,,,,,,,,Overcast,
Deans,D2A,3,8/16/2022,0.5,N/A,No,0.0/0.0,16:16:02.282,16:22:52.293,29.6,751.2,2.67,6.32,45.6,49.6,10.86,-0.21,28.3,751.3,3.58,5.71,45.5,48.4,10.77,0.24,Overcast,
Deans,D2B,3,8/16/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,Paused sampling - light rain
Deans,D2C,3,8/16/2022,0,N/A,No,0.0/0.2,16:33:30.592,16:37:10.295,29.5,751.2,2.7,6.46,45.7,49.6,9.66,0.09,27.8,751.3,3.94,2.21,46.7,49.2,10.27,0.22,Overcast,
Deans,D2D,3,8/16/2022,0,N/A,No,0.0/0.4,16:39:57.992,16:41:28.795,,,,,,,,,,,,,,,,,Shade,
Deans,D2E,3,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3A,3,8/16/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3B,3,8/16/2022,0,N/A,No,0.4/1.4,16:46:44.398,16:47:56.292,,,,,,,,,,,,,,,,,Overcast,
Deans,D3C,3,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3D,3,8/16/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3E,3,8/16/2022,0.5,N/A,No,1.4/2.2,16:50:00.196,16:51:24.196,,,,,,,,,,,,,,,,,Shade,
Deans,D4A,3,8/16/2022,0,N/A,No,0.7/0.4,16:53:27.900,16:55:47.697,29.7,751.2,2.79,6.65,45.7,49.7,9.73,-0.09,28.7,751.2,4.46,6.89,45.4,48.2,10.1,0.15,Overcast,
Deans,D4B,3,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D4C,3,8/16/2022,0,N/A,No,2.9/2.2,16:59:39.493,17:02:10.292,29.7,751.4,2.93,6.55,45.8,49.9,9.71,0.2,27.9,751.3,8.14,3.77,46.1,48.7,10.06,0.59,Overcast,
Deans,D4D,3,8/16/2022,1,N/A,No,2.2/2.2,17:04:38.094,17:05:52.997,,,,,,,,,,,,,,,,,Overcast,
Deans,D4E,3,8/16/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5A,3,8/16/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5B,3,8/16/2022,0.2,N/A,No,0.0/0.0,17:08:21.904,17:12:13.793,,,,,,,,,,,,,,,,,Overcast,
Deans,D5C,3,8/16/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5D,3,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5E,3,8/16/2022,5,N/A,No,0.0/1.4,17:15:23.608,17:18:34.496,,,,,,,,,,,,,,,,,Shade,
Deans,D1A,4,8/16/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1B,4,8/16/2022,0.2,N/A,No,2.2,19:07:42.01,19:09:20.880,,,,,,,,,,,,,,,,,Overcast,
Deans,D1C,4,8/16/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1D,4,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1E,4,8/16/2022,0.2,N/A,No,0.4,19:11:53.490,19:12:33.379,,,,,,,,,,,,,,,,,Overcast,
Deans,D2A,4,8/16/2022,0.5,N/A,No,1.4,19:15:37.083,19:21:12.478,29.5,750.7,3.4,7.13,45.4,49.2,10.82,0.04,29,750.7,4.4,6.97,45.2,48.6,10.77,0.1,Overcast,
Deans,D2B,4,8/16/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D2C,4,8/16/2022,0.1,N/A,No,2.5,19:23:14.399,19:28:41.084,29.4,750.8,2.4,6.71,45.8,49.6,10.31,0.08,27.7,750.7,3.8,1.3,47.5,50,10.08,0.3,Overcast,
Deans,D2D,4,8/16/2022,0,N/A,No,0.7,19:30:05.079,19:31:36.881,,,,,,,,,,,,,,,,,Overcast,
Deans,D2E,4,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3A,4,8/16/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3B,4,8/16/2022,0,N/A,No,2.2,19:34:35.784,19:35:43.583,,,,,,,,,,,,,,,,,Overcast,
Deans,D3C,4,8/16/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3D,4,8/16/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3E,4,8/16/2022,0.4,N/A,No,0.4,19:37:47.481,19:38:51.486,,,,,,,,,,,,,,,,,Overcast,
Deans,D4A,4,8/16/2022,0,N/A,No,2.9,19:40:29.377,19:45:28.282,29.3,751.1,3.75,7.11,45.1,48.8,9.54,0.07,29.1,751.3,4.5,7.05,45,48.5,9.8,0.05,Overcast,
Deans,D4B,4,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D4C,4,8/16/2022,0,N/A,No,2.9,19:47:21.192,19:53:27.185,29.1,751.3,2.8,6.72,45.7,49.4,9.81,0.07,27.9,751.4,7.1,2.8,46.7,49.2,10,0.45,Overcast,
Deans,D4D,4,8/16/2022,1,N/A,No,--,19:55:16.185,19:56:16.086,,,,,,,,,,,,,,,,,Overcast,
Deans,D4E,4,8/16/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5A,4,8/16/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5B,4,8/16/2022,0.2,N/A,No,1.4,19:58:53.086,20:00:04.994,,,,,,,,,,,,,,,,,Overcast,
Deans,D5C,4,8/16/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5D,4,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5E,4,8/16/2022,0,N/A,No,1.8,20:02:31.989,20:03:42.893,,,,,,,,,,,,,,,,,Overcast,
Deans,D1A,5,8/16/2022,1,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1B,5,8/16/2022,0.3,N/A,No,0.4,22:02:25.982,22:03:58.583,,,,,,,,,,,,,,,,,Overcast,
Deans,D1C,5,8/16/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1D,5,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1E,5,8/16/2022,0.2,N/A,No,0.4,22:06:26.283,22:07:36.081,,,,,,,,,,,,,,,,,Overcast,
Deans,D2A,5,8/16/2022,0.4,N/A,No,0.4,22:10:00.777,22:14:39.979,28.7,752.6,3.5,6.76,45.5,48.8,10.3,0.09,28.3,752.6,6.0 - 12.0,5.2,45.9,49.5,10.74,1.1,Overcast,
Deans,D2B,5,8/16/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D2C,5,8/16/2022,0.1,N/A,No,0.4,22:15:28.688,22:20:51.989,28.7,752.6,2.75,6.57,45.6,48.9,10.45,0.02,27.5,752.6,5.2,0.58,48.9,51.2,10.71,0.35,Overcast,
Deans,D2D,5,8/16/2022,0,N/A,No,0.4,22:22:36.790,22:23:27.783,,,,,,,,,,,,,,,,,Overcast,
Deans,D2E,5,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3A,5,8/16/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3B,5,8/16/2022,0,N/A,No,0.7,22:26:38.678,22:27:49.583,,,,,,,,,,,,,,,,,Overcast,
Deans,D3C,5,8/16/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3D,5,8/16/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3E,5,8/16/2022,0.5,N/A,No,0,22:29:59.385,22:31:03.286,,,,,,,,,,,,,,,,,Overcast,
Deans,D4A,5,8/16/2022,0.1,N/A,No,1.1,22:37:10.787,22:39:03.786,28.6,752.6,3.8,6.58,45.5,48.7,9.71,0.18,28.5,752.5,3.50-5.25,5.93,45.9,48.9,9.97,0.37,Overcast,
Deans,D4B,5,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D4C,5,8/16/2022,0,N/A,No,5.4,22:41:17.684,22:45:33.583,28.7,752.6,3.2,6.54,45.6,48.8,10.08,0.08,28,752.5,8.9,3.71,45.2,47.7,10.21,0.45,Overcast,
Deans,D4D,5,8/16/2022,2,N/A,No,1.1,22:47:01.583,22:48:32.392,,,,,,,,,,,,,,,,,Overcast,
Deans,D4E,5,8/16/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5A,5,8/16/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5B,5,8/16/2022,0.3,N/A,No,2.2,22:51:19.186,22:52:23.196,,,,,,,,,,,,,,,,,Overcast,
Deans,D5C,5,8/16/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5D,5,8/16/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5E,5,8/16/2022,10,N/A,No,0,22:55:06.088,22:56:15.888,,,,,,,,,,,,,,,,,Overcast,
Deans,D1A,6,8/17/2022,1,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1B,6,8/17/2022,0.5,N/A,No,0.4/1.1,01:07:50.069,01:09:22.767,,,,,,,,,,,,,,,,,Overcast,
Deans,D1C,6,8/17/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1D,6,8/17/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1E,6,8/17/2022,0.2,N/A,No,0.0/0.4,01:12:34.564,01:13:47.463,,,,,,,,,,,,,,,,,Overcast,
Deans,D2A,6,8/17/2022,0.5,N/A,No,1.1/1.8,01:17:30.265,01:20:29.884,28.2,752.7,3.65,6.27,45.6,48.4,10.28,0.25,28.3,752.6,3.58,6.19,45.8,48.6,10.54,0.12,Overcast,
Deans,D2B,6,8/17/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D2C,6,8/17/2022,0.2,N/A,No,0.4/0.7,01:23:40.569,01:27:47.273,28.3,752.7,3.81,6.25,45.6,48.4,10.48,0.18,27.6,752.6,4.93,0.82,47.5,49.8,10.27,0.26,Overcast,
Deans,D2D,6,8/17/2022,0,N/A,No,0.0/0.4,01:31:26.165,01:32:55.962,,,,,,,,,,,,,,,,,Overcast,
Deans,D2E,6,8/17/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3A,6,8/17/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3B,6,8/17/2022,0.2,N/A,No,1.4/1.1,01:36:31.765,01:37:32.766,,,,,,,,,,,,,,,,,Overcast,
Deans,D3C,6,8/17/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3D,6,8/17/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3E,6,8/17/2022,0.5,N/A,No,0.4/0.4,01:40:30.390,01:41:44.295,,,,,,,,,,,,,,,,,Overcast,
Deans,D4A,6,8/17/2022,0.2,N/A,No,1.4/1.1,01:44:50.167,01:48:08.975,28.3,752.5,3.09,6.2,45.5,48.3,9.97,0.06,28.3,752.2,3.6,6.13,45.6,48.4,10.14,0.03,Overcast,
Deans,D4B,6,8/17/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D4C,6,8/17/2022,0,N/A,No,1.4/2.5,01:52:02.768,01:54:57.674,28.3,752.3,3.65,6.09,45.5,48.3,10.07,0.07,27.9,752.4,5.16,4.24,46.4,48.9,10.08,0.27,Overcast,
Deans,D4D,6,8/17/2022,1,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D4E,6,8/17/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5A,6,8/17/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5B,6,8/17/2022,0.8,N/A,No,6.1/4.7,02:02:55.370,02:04:07.369,,,,,,,,,,,,,,,,,Overcast,
Deans,D5C,6,8/17/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5D,6,8/17/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5E,6,8/17/2022,10,N/A,No,0.7/0.7,02:07:05.263,02:08:17.176,,,,,,,,,,,,,,,,,Overcast,
Deans,D1A,7,8/17/2022,1,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1B,7,8/17/2022,0.4,N/A,No,1.1/2.2,04:08:46.145,04:09:52.946,,,,,,,,,,,,,,,,,Overcast,
Deans,D1C,7,8/17/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1D,7,8/17/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1E,7,8/17/2022,0.4,N/A,No,2.2/2.5,04:13:32.358,04:14:34.148,,,,,,,,,,,,,,,,,Overcast,
Deans,D2A,7,8/17/2022,1,N/A,No,1.4/0.4,04:17:47.749,04:20:57.352,27.9,752.6,2.72,5.95,45.7,48.2,9.59,0.07,28,752.6,2.98,5.89,45.7,48.4,10.42,0.09,Overcast,
Deans,D2B,7,8/17/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D2C,7,8/17/2022,0.3,N/A,No,2.5/1.8,04:25:29.957,04:27:13.752,28,752.6,3.23,5.74,45.7,48.4,10.27,0.15,27.6,752.7,5.98,0.43,48.3,50.5,10.6,0.25,Overcast,
Deans,D2D,7,8/17/2022,0,N/A,No,0.4/0.0,04:34:38.470,04:35:43.452,,,,,,,,,,,,,,,,,Overcast,
Deans,D2E,7,8/17/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3A,7,8/17/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3B,7,8/17/2022,0.1,N/A,No,2.2/1.4,04:43:31.153,04:44:27.051,,,,,,,,,,,,,,,,,Overcast,
Deans,D3C,7,8/17/2022,0.6,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3D,7,8/17/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3E,7,8/17/2022,1.2,N/A,No,0.4/1.8,04:48:02.850,04:49:04.750,,,,,,,,,,,,,,,,,Overcast,
Deans,D4A,7,8/17/2022,0.4,N/A,No,1.4/0.7,04:52:08.757,04:54:29.653,28,752.7,3.52,5.73,45.5,48.1,9.7,0.01,28,752.7,3.11,5.69,45.5,48.2,9.96,0.12,Overcast,
Deans,D4B,7,8/17/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D4C,7,8/17/2022,0,N/A,No,1.4/2.5,04:58:43.557,05:02:05.356,28,752.7,2.87,5.74,45.6,48.2,9.96,0.29,27.8,752.6,2.92,5.17,46,48.4,9.98,-0.04,Overcast,
Deans,D4D,7,8/17/2022,2.5,N/A,No,0.7/0.0,05:06:10.887,05:07:26.761,,,,,,,,,,,,,,,,,Overcast,
Deans,D4E,7,8/17/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5A,7,8/17/2022,0.6,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5B,7,8/17/2022,6,N/A,No,1.4/2.2,05:12:00.553,05:13:07.549,,,,,,,,,,,,,,,,,Overcast,
Deans,D5C,7,8/17/2022,0.6,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5D,7,8/17/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5E,7,8/17/2022,10,N/A,No,0.0/1.4,05:16:19.553,05:17:19.554,,,,,,,,,,,,,,,,,Overcast,
Deans,D1A,8,8/17/2022,1.5,0176,Yes,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1B,8,8/17/2022,1.2,0176,Yes,0.0/0.0,08:54:49.399,08:55:49.177,,,,,,,,,,,,,,,,,Overcast,
Deans,D1C,8,8/17/2022,0.5,0176,Yes,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1D,8,8/17/2022,0,0176,Yes,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1E,8,8/17/2022,1.8,0176,Yes,0.4/0.0,08:57:45.079,08:58:57.901,,,,,,,,,,,,,,,,,Overcast,
Deans,D2A,8,8/17/2022,6,0176,Yes,0.7/1.1,09:01:25.375,09:03:57.288,27.7,754.4,0.67,5.06,45.9,48.3,10.04,--,27.8,754.1,0.79,4.99,45.9,48.4,10.39,--,Overcast,
Deans,D2B,8,8/17/2022,2,0176,Yes,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D2C,8,8/17/2022,1.9,0176,Yes,0.0/1.4,09:06:25.180,09:10:26.712,27.8,754.2,2.84,5.27,45.8,48.3,10.47,0.05,27.5,754.2,4.56,2.9,48.2,50.9,10.33,0.18,Overcast,
Deans,D2D,8,8/17/2022,0.1,0176,Yes,0.4/0.0,09:14:47.380,09:15:37.277,,,,,,,,,,,,,,,,,Overcast,
Deans,D2E,8,8/17/2022,0,0176,Yes,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3A,8,8/17/2022,2.5,0176,Yes,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3B,8,8/17/2022,0.7,0176,Yes,1.1/0.4,09:21:04.982,09:22:16.788,,,,,,,,,,,,,,,,,Overcast,
Deans,D3C,8,8/17/2022,2,0177,Yes,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3D,8,8/17/2022,1.2,0177,Yes,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3E,8,8/17/2022,3.3,0177,Yes,0.0/0.4,09:24:11.677,09:25:14.482,,,,,,,,,,,,,,,,,Overcast,
Deans,D4A,8,8/17/2022,0.7,0177,Yes,0.0/00.4,09:26:57.385,09:29:38.381,27.7,754.3,2.93,5.57,45.6,48,9.68,-0.07,27.7,754.3,3.53,5.66,45.6,47.9,9.85,0.22,Overcast,
Deans,D4B,8,8/17/2022,0,0177,Yes,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D4C,8,8/17/2022,0,0177,Yes,1.1/0.71,09:32:48.182,09:35:05.081,27.8,754.2,2.85,5.36,45.7,48.1,9.91,0.17,27.8,754.3,2.79,5.28,45.6,48,9.91,-0.02,Overcast,
Deans,D4D,8,8/17/2022,3.8,0177,Yes,0.4/0.4,09:38:06.984,09:39:28.879,,,,,,,,,,,,,,,,,Overcast,
Deans,D4E,8,8/17/2022,3.2,0177,Yes,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5A,8,8/17/2022,1.3,0177,Yes,,,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5B,8,8/17/2022,9.4,0177,Yes,1.1/0.7,09:41:30.877,09:42:33.788,,,,,,,,,,,,,,,,,Overcast,
Deans,D5C,8,8/17/2022,2.4,N/A,Yes,,,,,,,,,,,,,,,,,,,,Overcast,
