Location,Trip,Trap,Date,Start,End
Pick,2,P5E,6/20/2022,36:00.3,37:22.3
Pick,3,P1A,6/20/2022,42:26.2,44:11.2
Pick,3,P1B,6/20/2022,46:22.0,48:23.9
Pick,3,P1C,6/20/2022,50:50.4,52:36.2
Pick,3,P1D,6/20/2022,55:40.8,57:21.7
Pick,3,P1E,6/20/2022,59:56.7,01:41.5
Pick,4,P1A,6/20/2022,52:47.4,55:08.1
Pick,4,P1B,6/20/2022,57:14.8,58:42.7
Pick,4,P1C,6/20/2022,02:23.6,03:35.4
Pick,4,P1D,6/20/2022,05:50.2,06:55.2
Pick,4,P1E,6/20/2022,09:26.1,10:54.9
Pick,4,P2A,6/20/2022,17:10.8,19:12.7
Pick,4,P2B,6/20/2022,24:40.5,26:03.4
Pick,4,P2C,6/20/2022,27:52.3,29:14.2
Pick,4,P2D,6/20/2022,35:31.9,36:56.9
Pick,4,P2E,6/20/2022,38:46.2,39:54.6
Pick,4,P3A,6/20/2022,44:57.6,46:22.6
Pick,4,P3B,6/20/2022,48:07.6,49:43.6
Pick,4,P3C,6/20/2022,51:50.6,52:56.5
Pick,4,P3D,6/20/2022,55:27.4,56:30.4
Pick,4,P3E,6/20/2022,58:08.4,59:43.3
Pick,4,P4A,6/20/2022,02:44.3,04:39.3
Pick,4,P4B,6/20/2022,12:24.4,14:01.1
Pick,4,P4C,6/20/2022,16:02.1,17:11.1
Pick,4,P4D,6/20/2022,25:12.8,26:24.8
Pick,4,P4E,6/20/2022,29:01.7,30:36.7
Pick,4,P5A,6/20/2022,47:15.4,48:55.3
Pick,4,P5B,6/20/2022,43:19.5,44:28.4
Pick,4,P5C,6/20/2022,21.39:49.579,41:07.6
Pick,4,P5D,6/20/2022,37:19.6,38:32.6
Pick,4,P5E,6/20/2022,33:52.6,35:01.6
Pick,6,P1A,6/21/2022,22:54.0,24:27.6
Pick,6,P1B,6/21/2022,,
Pick,6,P1C,6/21/2022,26:57.4,28:37.3
Pick,6,P1D,6/21/2022,,
Pick,6,P1E,6/21/2022,32:09.9,33:49.7
Pick,6,P2A,6/21/2022,37:15.4,40:41.1
Pick,6,P2B,6/21/2022,,
Pick,6,P2C,6/21/2022,34:02.9,46:02.7
Pick,6,P2D,6/21/2022,,
Pick,6,P2E,6/21/2022,48:54.6,50:13.5
Pick,5,P1A,6/21/2022,50:30.2,51:54.0
Pick,5,P1B,6/21/2022,,
Pick,5,P1C,6/21/2022,57:05.6,58:31.4
Pick,5,P1D,6/21/2022,,
Pick,5,P1E,6/21/2022,02:00.9,02:31.7
Pick,5,P2A,6/21/2022,11:33.2,13:47.1
Pick,5,P2B,6/21/2022,,
Pick,5,P2C,6/21/2022,17:18.0,19:18.8
Pick,5,P2D,6/21/2022,,
Pick,5,P2E,6/21/2022,23:27.6,25:09.3
Pick,5,P3A,6/21/2022,28:27.3,29:50.2
Pick,5,P3B,6/21/2022,,
Pick,5,P3C,6/21/2022,32:39.0,34:00.9
Pick,5,P3D,6/21/2022,,
Pick,5,P3E,6/21/2022,37:04.7,38:56.7
Pick,5,P4A,6/21/2022,44:41.6,47:03.5
Pick,5,P4B,6/21/2022,,
Pick,5,P4C,6/21/2022,54:41.2,57:21.2
Pick,5,P4D,6/21/2022,,
Pick,5,P4E,6/21/2022,02:27.2,04:02.1
Pick,5,P5A,6/21/2022,17:47.7,19:35.7
Pick,5,P5B,6/21/2022,,
Pick,5,P5C,6/21/2022,12:32.8,13:34.7
Pick,5,P5D,6/21/2022,,
Pick,5,P5E,6/21/2022,07:02.0,08:22.9
Pick,6,P3A,6/21/2022,24:10.0,26:09.7
Pick,6,P3B,6/21/2022,,
Pick,6,P3C,6/21/2022,35:12.5,36:43.2
Pick,6,P3D,6/21/2022,,
Pick,6,P3E,6/21/2022,41:07.9,42:46.7
Pick,6,P4A,6/21/2022,46:29.3,48:47.1
Pick,6,P4B,6/21/2022,,
Pick,6,P4C,6/21/2022,52:19.0,53:45.9
Pick,6,P4D,6/21/2022,,
Pick,6,P4E,6/21/2022,58:45.6,00:22.5
Pick,6,P5A,6/21/2022,15:04.6,18:30.5
Pick,6,P5B,6/21/2022,,
Pick,6,P5C,6/21/2022,10:57.9,12:12.9
Pick,6,P5D,6/21/2022,,
Pick,6,P5E,6/21/2022,05:15.1,07:10.9
