Location,Trap #,Trip,Date,Gas Vol,Vial #,Emptied?,Anemometer,Start,End,YSI Top Temp,YSI Top Pressure,YSI Top DO %L,YSI Top DO mg/L,YSI Top SPC,YSI Top C,YSI Top pH,YSI Bottom Temp,YSI Bottom Pressure,YSI Bottom DO %L,YSI Bottom DO mg/L,YSI Bottom SPC,YSI Bottom C,YSI Bottom pH,Macrophyte/Shade,Notes,,
Sisters3,P4E,2,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,Shade,,,
Sisters3,P5A,2,8/22/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,Shade,,,
Sisters3,P5B,2,8/22/2022,0.5,N/A,No,0.0/0.0,14:16:54.277,14:18:14.994,,,,,,,,,,,,,,,Shade,,,
Sisters3,P5C,2,8/22/2022,8,N/A,No,,,,,,,,,,,,,,,,,,Shade,,,
Sisters3,P5D,2,8/22/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Shade,,,
Sisters3,P5E,2,8/22/2022,5.1,N/A,No,0.0/0.2,14:21:51.573,14:25:07.364,,,,,,,,,,,,,,,Shade,,,
Sisters3,P1A,3,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P1B,3,8/22/2022,0,N/A,No,0.9/1.6,16:17:42.092,16:18:59.884,,,,,,,,,,,,,,,No/overcast,,,
Sisters3,P1C,3,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,No/overcast,,,
Sisters3,P1D,3,8/22/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,No/overcast,,,
Sisters3,P1E,3,8/22/2022,0.4,N/A,No,0.2/0.2,16:22:07.496,16:24:19.393,,,,,,,,,,,,,,,No/sun,,,
Sisters3,P2A,3,8/22/2022,0,N/A,No,1.1/0.4,16:26:55.988,16:27:58.805,28.2,743.5,88,6.5,32.8,34.8,8.3,26.9,743.5,96.8,7.5,32.3,33.6,8.4,No/sun,,,
Sisters3,P2B,3,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P2C,3,8/22/2022,0.2,N/A,No,1.3/1.1,16:37:59.795,16:42:13.488,28.2,743,102,7.8,32.8,34.7,8.38,26.2,743.5,66,5,32.8,33.5,7.14,No/overcast,,,
Sisters3,P2D,3,8/22/2022,0,N/A,No,1.8/0.9,16:49:14.089,16:50:21.994,,,,,,,,,,,,,,,No/overcast,,,
Sisters3,P2E,3,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P3A,3,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P3B,3,8/22/2022,36,N/A,No,1.1/0.9,16:53:29.892,16:54:37.900,,,,,,,,,,,,,,,No/overcast,,,
Sisters3,P3C,3,8/22/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P3D,3,8/22/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P3E,3,8/22/2022,2.5,N/A,No,0.9/0.9,16:56:32.596,16:59:09.390,,,,,,,,,,,,,,,No/overcast,,,
Sisters3,P4A,3,8/22/2022,0.1,N/A,No,1.6/1.1,17:00:59.290,17:06:25.195,28.3,743.5,89.2,6.8,32.8,34.8,8.33,27.1,743.5,71,5.5,32.7,34,7.66,No/overcast,,,
Sisters3,P4B,3,8/22/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P4C,3,8/22/2022,0.2,N/A,No,0.9/0.9,17:13:10.698,17:19:33.595,28.3,743.5,82,6.3,32.7,34.7,8.4,26.9,743.5,89.7,7,32.8,33.9,7.91,No/overcast,,,
Sisters3,P4D,3,8/22/2022,0.4,N/A,No,1.3/1.1,17:21:01.492,17:22:05.415,,,,,,,,,,,,,,,No/overcast,,,
Sisters3,P4E,3,8/22/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P5A,3,8/22/2022,0.8,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P5B,3,8/22/2022,1,N/A,No,1.6/1.3,17:25:11.293,17:26:46.300,,,,,,,,,,,,,,,No/overcast,,,
Sisters3,P5C,3,8/22/2022,12.7,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P5D,3,8/22/2022,5,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P5E,3,8/22/2022,7.6,N/A,No,0.9/0.3,17:28:58.201,17:30:16.197,,,,,,,,,,,,,,,No/overcast,,,
Sisters3,P1A,4,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P1B,4,8/22/2022,0,N/A,No,1.1,19:11:10.278,19:12:33.176,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P1C,4,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P1D,4,8/22/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P1E,4,8/22/2022,0.4,N/A,No,0.4,19:14:33.979,19:16:03.678,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P2A,4,8/22/2022,0,N/A,No,0.2,19:17:56.474,19:23:11.273,28,743.6,97.9,7.3,32.7,34.5,8.53,27.1,743.5,85.5,6.58,32.4,33.7,8.47,Overcast,,,
Sisters3,P2B,4,8/22/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P2C,4,8/22/2022,0.1,N/A,No,0.2,19:25:26.179,19:31:45.773,28.1,743.6,98.5,8.3,32.8,34.7,8.53,26.2,743.7,65.5,5.28,33.1,33.9,7.42,Overcast,,,
Sisters3,P2D,4,8/22/2022,0,N/A,No,1.3,19:34:03.410,19:35:06.376,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P2E,4,8/22/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P3A,4,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P3B,4,8/22/2022,32.5,193,Yes,1.30,19:39:06.972,19:40:28.980,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P3C,4,8/22/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P3D,4,8/22/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P3E,4,8/22/2022,2.5,N/A,No,0.2,19:42:47.979,19:44:08.983,,,,,,,,,,,,,,,Small amount of fimaentous algae,,,
Sisters3,P4A,4,8/22/2022,0.2,N/A,No,0,19:46:28.780,19:50:51.385,28.1,743.9,93.8,7.13,32.8,34.6,8.56,27.3,743.8,89,6.9,32.6,34,8.2,Overcast,,,
Sisters3,P4B,4,8/22/2022,1.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P4C,4,8/22/2022,0.2,N/A,No,0,19:53:00.373,19:57:53.182,28,743.9,95,7.2,32.8,34.9,8.52,27,743.8,83.1,6.48,32.8,34.1,8.21,Overcast,,,
Sisters3,P4D,4,8/22/2022,0.5,N/A,No,0.4,19:59:12.183,20:00:58.180,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P4E,4,8/22/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P5A,4,8/22/2022,0.6,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P5B,4,8/22/2022,2.7,N/A,No,0,20:03:54.003,20:05:06.987,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P5C,4,8/22/2022,14.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P5D,4,8/22/2022,12.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P5E,4,8/22/2022,10.6,N/A,No,0.2,20:07:25.883,20:08:48.784,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P1A,5,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P1B,5,8/22/2022,0,N/A,No,0,22:00:28.268,22:01:39.083,,,,,,,,,,,,,,,,,,
Sisters3,P1C,5,8/22/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P1D,5,8/22/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P1E,5,8/22/2022,0.4,N/A,No,0,22:04:10.759,22:05:27.561,,,,,,,,,,,,,,,,,,
Sisters3,P2A,5,8/22/2022,0.3,N/A,No,0,22:07:32.364,22:11:42.888,27.5,744.5,91.2,7.09,32.7,34.3,8.36,27,744.5,88.6,6.91,32.6,33.9,8.27,,,,
Sisters3,P2B,5,8/22/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P2C,5,8/22/2022,0.1,N/A,No,0,22:13:41.754,22:18:16.360,27.5,744.5,93,7.25,32.7,34.2,8.32,26.3,744.5,60.5,4.79,32.9,33.7,7.45,,,,
Sisters3,P2D,5,8/22/2022,0,N/A,No,0.4,22:19:54.261,22:21:07.267,,,,,,,,,,,,,,,,,,
Sisters3,P2E,5,8/22/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P3A,5,8/22/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P3B,5,8/22/2022,0,N/A,No,0.7,22:23:58.166,22:25:03.962,,,,,,,,,,,,,,,,,,
Sisters3,P3C,5,8/22/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P3D,5,8/22/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P3E,5,8/22/2022,2.5,N/A,No,0,22:27:08.863,22:28:21.764,,,,,,,,,,,,,,,,,,
Sisters3,P4A,5,8/22/2022,0.1,N/A,No,0,22:30:16.765,22:35:04.463,27.5,744.6,86.5,6.76,32.6,34.1,8.1,27.5,744.6,88.6,7.1,32.6,34.2,8.08,,,,
Sisters3,P4B,5,8/22/2022,1,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P4C,5,8/22/2022,0.3,N/A,No,0.2,22:36:48.162,22:43:24.874,27.5,744.5,92.3,7.35,32.6,34.2,8.1,26.9,744.6,52.6,4.1,34.4,35.7,7.69,,,,
Sisters3,P4D,5,8/22/2022,2.8,N/A,No,0.2,22:45:19.770,22:46:46.777,,,,,,,,,,,,,,,,,,
Sisters3,P4E,5,8/22/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P5A,5,8/22/2022,1,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P5B,5,8/22/2022,9.9,N/A,No,0,22:49:38.666,22:50:49.671,,,,,,,,,,,,,,,,,,
Sisters3,P5C,5,8/22/2022,14.7,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P5D,5,8/22/2022,15,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P5E,5,8/22/2022,10.5,N/A,No,0,22:53:08.573,22:54:38.474,,,,,,,,,,,,,,,,,,
Sisters3,P1A,6,8/23/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P1B,6,8/23/2022,0,N/A,No,0.4/0.4,01:02:13.999,01:03:22.798,,,,,,,,,,,,,,,,,,
Sisters3,P1C,6,8/23/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P1D,6,8/23/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P1E,6,8/23/2022,0.4,N/A,No,0.0/0.0,01:06:40.502,01:08:14.401,,,,,,,,,,,,,,,,,,
Sisters3,P2A,6,8/23/2022,0.3,N/A,No,0.0/0.0,01:11:18.102,01:13:32.902,27.1,744.4,92.5,7.8,32.6,33.9,8.03,26.8,744.3,67.7,5.4,32.6,33.6,7.7,,,,
Sisters3,P2B,6,8/23/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P2C,6,8/23/2022,0.2,N/A,No,0.0/0.0,01:19:45.505,01:23:59.304,27.1,744.3,91.3,6.85,32.5,33.9,7.93,26.1,744.3,43.9,3.53,33.3,34,6.99,,,,
Sisters3,P2D,6,8/23/2022,0,N/A,No,0.2/0.4,01:29:41.800,01:31:29.696,,,,,,,,,,,,,,,,,,
Sisters3,P2E,6,8/23/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P3A,6,8/23/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P3B,6,8/23/2022,0.1,N/A,No,0.0/0.2,01:35:04.608,01:36:58.504,,,,,,,,,,,,,,,,,,
Sisters3,P3C,6,8/23/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P3D,6,8/23/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P3E,6,8/23/2022,2.6,N/A,No,0.4/0.7,01:38:53.400,01:40:12.399,,,,,,,,,,,,,,,,,,
Sisters3,P4A,6,8/23/2022,0.2,N/A,No,0.0/0.4,01:41:52.305,01:49:09.802,27.1,744.1,86.7,6.55,32.5,33.9,7.67,27.1,744,75.2,5.43,32.6,33.9,7.66,,,,
Sisters3,P4B,6,8/23/2022,2.5,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P4C,6,8/23/2022,0.4,N/A,No,0.0/0.0,01:52:26.701,01:58:17.610,27.1,744,80.8,6.2,32.6,33.9,7.66,26.8,743.9,41.4,3.13,35.2,36.6,7.07,,,,
Sisters3,P4D,6,8/23/2022,4.8,N/A,No,0.0/0.0,02:01:06.406,02:02:23.403,,,,,,,,,,,,,,,,,,
Sisters3,P4E,6,8/23/2022,2.8,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P5A,6,8/23/2022,2.5,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P5B,6,8/23/2022,10.2,N/A,No,0.0/0.0,02:05:11.299,02:06:43.201,,,,,,,,,,,,,,,,,,
Sisters3,P5C,6,8/23/2022,20.3,194,Yes,,,,,,,,,,,,,,,,,,,,,
Sisters3,P5D,6,8/23/2022,17.4,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P5E,6,8/23/2022,15,N/A,No,0.0/0.0,02:12:25.009,02:13:56.806,,,,,,,,,,,,,,,,,,
Sisters3,P1A,7,8/23/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P1B,7,8/23/2022,0.4,N/A,No,0.2/0.2,04:19:16.383,04:20:39.286,,,,,,,,,,,,,,,,,,
Sisters3,P1C,7,8/23/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P1D,7,8/23/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P1E,7,8/23/2022,2.3,N/A,No,0.2/0.2,04:23:19.885,04:24:27.690,,,,,,,,,,,,,,,,,,
Sisters3,P2A,7,8/23/2022,0.3,N/A,No,0.0/0.0,04:30:43.185,04:36:30.787,26.8,743.1,88,7.1,32.5,33.7,7.63,26.7,743.1,42.3,3.36,33.6,34.7,7.15,,,,
Sisters3,P2B,7,8/23/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P2C,7,8/23/2022,0.2,N/A,No,0.0/0.0,04:38:56.578,04:42:25.288,26.8,743,89.7,7.34,32.5,33.7,7.55,26.3,743,24.7,1.96,34.5,35.4,6.97,,,,
Sisters3,P2D,7,8/23/2022,0,N/A,No,0.0/0.0,04:47:34.889,04:49:05.793,,,,,,,,,,,,,,,,,,
Sisters3,P2E,7,8/23/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P3A,7,8/23/2022,0,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P3B,7,8/23/2022,0.1,N/A,No,0.2/0.2,04:51:56.693,04:53:24.684,,,,,,,,,,,,,,,,,,
Sisters3,P3C,7,8/23/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P3D,7,8/23/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P3E,7,8/23/2022,2.5,N/A,No,0.7/0.7,04:55:10.595,04:56:16.584,,,,,,,,,,,,,,,,,,
Sisters3,P4A,7,8/23/2022,0.1,N/A,No,0.4/0.0,04:57:56.492,04:59:56.387,26.7,743,85,6.65,32.5,33.6,7.38,26.8,743,67.1,4.04,32.6,33.6,7.39,,,,
Sisters3,P4B,7,8/23/2022,2.5,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P4C,7,8/23/2022,0.5,N/A,No,0.0/0.0,05:05:58.186,05:10:30.194,26.8,743,86.3,6.88,32.6,33.8,7.43,26.8,743,83.3,6.63,32.7,33.8,7.44,,,,
Sisters3,P4D,7,8/23/2022,5,N/A,No,0.4/0.7,05:12:07.987,05:13:57.895,,,,,,,,,,,,,,,,,,
Sisters3,P4E,7,8/23/2022,4.9,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P5A,7,8/23/2022,5.2,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P5B,7,8/23/2022,10.2,N/A,No,0.2/0.0,05:16:43.893,05:17:53.790,,,,,,,,,,,,,,,,,,
Sisters3,P5C,7,8/23/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P5D,7,8/23/2022,19.5,N/A,No,,,,,,,,,,,,,,,,,,,,,
Sisters3,P5E,7,8/23/2022,14.5,N/A,No,0.0/0.0,05:19:55.696,05:21:31.687,,,,,,,,,,,,,,,,,,
Sisters3,P1A,8,8/23/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P1B,8,8/23/2022,0.3,N/A,No,0.0/0.0,07:19:13.770,07:20:41.463,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P1C,8,8/23/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P1D,8,8/23/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P1E,8,8/23/2022,2.6,N/A,No,0.0/0.0,07:22:59.070,07:24:01.869,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P2A,8,8/23/2022,0.5,N/A,No,0.0/0.0,07:25:52.560,07:29:07.464,26.6,743.8,83.7,6.63,32.7,33.7,7.55,26.5,743.8,75.1,59.1,32.9,33.9,7.36,Overcast,,,
Sisters3,P2B,8,8/23/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P2C,8,8/23/2022,0.2,N/A,No,0.7/0.9,07:34:02.866,07:36:36.472,26.6,743.8,85.5,6.71,32.7,33.7,7.42,26.1,743.8,66,5.23,33.2,34,7.16,Overcast,,,
Sisters3,P2D,8,8/23/2022,0,N/A,No,0.2/0.0,07:39:28.266,07:40:29.167,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P2E,8,8/23/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P3A,8,8/23/2022,0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P3B,8,8/23/2022,0.2,N/A,No,0.2/0.4,07:43:05.069,07:44:32.989,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P3C,8,8/23/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P3D,8,8/23/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P3E,8,8/23/2022,2.7,N/A,No,0.0/0.0,07:46:19.867,07:47:22.866,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P4A,8,8/23/2022,0.2,N/A,No,0.0/0.0,07:48:55.764,07:51:07.769,26.5,743.9,82.7,6.43,32.6,33.6,7.42,26.6,743.9,78.5,6.15,32.7,33.6,7.37,Overcast,,,
Sisters3,P4B,8,8/23/2022,2.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P4C,8,8/23/2022,0.5,N/A,No,0.0/0.0,07:54:33.371,07:57:32.072,26.5,743.8,83.6,6.58,32.6,33.6,7.42,26.3,743.9,81.9,6.45,32.8,33.6,7.33,Overcast,,,
Sisters3,P4D,8,8/23/2022,4.5,N/A,No,0.0/0.2,07:59:47.870,08:00:56.863,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P4E,8,8/23/2022,5.3,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P5A,8,8/23/2022,5.2,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P5B,8,8/23/2022,10.3,N/A,No,0.0/0.2,08:03:36.871,08:04:36.869,,,,,,,,,,,,,,,Overcast,,,
Sisters3,P5C,8,8/23/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,,,
