Vial,Site,Location,Rep,Collection Date,CH4 area,CH4 hgt,CO2  area,CO2 hgt,Run Date,File name,Notes,dilution sample vol (ml),dilution status,CO2 curve,Measured CH4 conc ppm,Measured CO2 conc ppm,Sample Vol,Final Vol,Undiluted CH4 conc ppm,Undiluted CO2 conc ppm
0277,Picks,top,2,9/13/2022,906.5927,183.893,1833.2309,160.373,10/12/2022,EDC_B_34,NA,NA,0,low,4448.345958,8808.719943,NA,NA,4448.345958,8808.719943
0278,Picks,top,3,9/13/2022,889.5736,180.538,1859.445,161.925,10/12/2022,EDC_B_35,NA,NA,0,low,4364.905281,8936.016027,NA,NA,4364.905281,8936.016027
0279,Picks,bottom,1,9/13/2022,1750.8737,339.63,2651.9897,216.116,10/12/2022,EDC_B_36,NA,NA,0,high,8587.658762,13073.61645,NA,NA,8587.658762,13073.61645
"calibration check (200 ppm CH4, 10000 CO2)",NA,NA,NA,NA,46.96,11.074,2355.642,196.564,10/12/2022,EDC_B_37,NA,NA,0,low,206.1422395,9451.423948,NA,NA,206.1422395,9451.423948
"calibration check (200 ppm CH4, 10000 CO2)",NA,NA,NA,NA,47.2878,11.1,2388.0868,198.936,10/12/2022,EDC_B_38,NA,NA,0,low,207.5594466,9582.673139,NA,NA,207.5594466,9582.673139
0280,Picks,bottom,2,9/13/2022,873.332,177.041,1865.122,161.658,10/12/2022,EDC_B_39,NA,NA,0,low,4285.276504,8963.583629,NA,NA,4285.276504,8963.583629
0281,Picks,bottom,3,9/13/2022,759.2256,155.273,1760.6266,153.797,10/12/2022,EDC_B_40,NA,NA,0,low,3725.839442,8456.152314,NA,NA,3725.839442,8456.152314
0282,Picks,inlet,1,9/13/2022,103.6166,22.683,598.7557,60.252,10/12/2022,EDC_B_41,Needle bent,NA,0,low,511.5414439,2814.088845,NA,NA,511.5414439,2814.088845
0283,Picks,inlet,2,9/13/2022,81.7146,18.193,566.7817,57.353,10/12/2022,EDC_B_42,NA,NA,0,low,404.1610468,2658.822596,NA,NA,404.1610468,2658.822596
0284,Picks,inlet,3,9/13/2022,83.4702,18.555,628.1266,62.789,10/12/2022,EDC_B_43,NA,NA,0,low,412.7683441,2956.7144,NA,NA,412.7683441,2956.7144
Diluted 1% std,NA,NA,NA,NA,227.4822,48.068,434.5913,45.034,10/12/2022,EDC_B_44,NA,1 mL into 10 glass syringe,1,low,1118.825588,2016.903922,1,10,11188.25588,20169.03922
Diluted 1% std,NA,NA,NA,NA,136.778,29.384,261.9242,28.584,10/12/2022,EDC_B_45,NA,NA,1,low,674.1240528,1178.429754,1,10,6741.240528,11784.29754
Diluted 1% std,NA,NA,NA,NA,205.2431,43.441,391.4739,40.926,10/12/2022,EDC_B_46,NA,NA,1,low,1009.792468,1807.525146,1,10,10097.92468,18075.25146
Diluted 1% std,NA,NA,NA,NA,228.1585,48.213,439.5168,45.344,10/12/2022,EDC_B_47,NA,NA,1,low,1122.141329,2040.822228,1,10,11221.41329,20408.22228
Diluted 1% std,NA,NA,NA,NA,244.8102,51.69,466.4042,47.795,10/12/2022,EDC_B_48,NA,NA,1,low,1203.78073,2171.387868,1,10,12037.8073,21713.87868
Diluted 1% std,NA,NA,NA,NA,242.5306,51.087,465.0728,47.648,10/12/2022,EDC_B_49,NA,NA,1,low,1192.604382,2164.922569,1,10,11926.04382,21649.22569
"calibration check (200 ppm CH4, 10000 CO2)",NA,NA,NA,NA,46.7638,11.033,2305.8029,190.262,10/12/2022,EDC_B_50,NA,NA,,low,205.2939905,9249.809466,NA,NA,205.2939905,9249.809466
"calibration check (200 ppm CH4, 10000 CO2)",NA,NA,NA,NA,46.5694,10.998,2299.972,189.82,10/12/2022,EDC_B_51,NA,NA,,low,204.4535236,9226.221683,NA,NA,204.4535236,9226.221683
0285,Picks,oulet,1,9/13/2022,2.0856,0.47,624.8756,61.994,10/12/2022,EDC_B_52,NA,NA,,low,13.7586343,2940.927493,NA,NA,13.7586343,2940.927493
0286,Picks,outlet,2,9/13/2022,1.3746,0.304,478.1517,48.813,10/12/2022,EDC_B_53,NA,NA,,low,10.27276715,2228.433914,NA,NA,10.27276715,2228.433914
0218,Deans,D3E,4,8/30/2022,2377.4306,443.196,128.8876,15.12,10/12/2022,EDC_B_54,NA,1 mL into 10 glass syringe,1,low,11659.52109,532.4019198,1,10,116595.2109,5324.019198
0219,Deans,1A-2C,NA,8/31/2022,1933.2566,368.407,32.6583,4.341,10/12/2022,EDC_B_55,NA,1 mL into 10 glass syringe,1,low,9481.839578,65.11091689,1,10,94818.39578,651.1091689
0220,Deans,2D-4A,NA,8/31/2022,2087.518,395.082,38.986,5.146,10/12/2022,EDC_B_56,NA,1 mL into 10 glass syringe,1,low,10238.14724,95.83832817,1,10,102381.4724,958.3832817
0221,Deans,4B-5A,NA,8/31/2022,4433.4391,755.398,35.752,4.724,10/12/2022,EDC_B_57,NA,1 mL into 10 glass syringe,1,low,21739.65118,80.13397302,1,10,217396.5118,801.3397302
0222,Deans,5B-5E,NA,8/31/2022,3979.9503,691.157,38.2888,5.047,10/12/2022,EDC_B_58,NA,1 mL into 10 glass syringe,1,low,19516.30137,92.45271395,1,10,195163.0137,924.5271395
0221,Deans,4B-5A,NA,8/31/2022,1836.6786,351.68,11.8378,1.526,10/12/2022,EDC_B_59,Rerun,0.2 mL into 10 glass syringe,1,low,9008.340172,-35.99376044,0.2,10,450417.0086,-1799.688022
"calibration check (200 ppm CH4, 10000 CO2)",NA,NA,NA,NA,46.9406,11.051,2310.5092,189.369,10/12/2022,EDC_B_60,NA,NA,0,low,206.0583658,9268.847896,NA,NA,206.0583658,9268.847896
0222,Deans,5B-5E,NA,8/31/2022,1082.5272,215.613,5.294,0.654,10/12/2022,EDC_B_61,Rerun,0.2 mL into 10 glass syringe,1,low,5310.911773,-67.77055675,0.2,10,265545.5886,-3388.527837
0223,Deans,Fresh bubbles,1,8/31/2022,2310.3264,431.692,121.729,14.349,10/12/2022,EDC_B_62,NA,0.1 mL into 10 glass syringe,1,low,11330.52485,497.639645,0.1,10,1133052.485,49763.9645
0224,Deans,Fresh bubbles,2,8/31/2022,2134.5154,402.458,75.9841,9.482,10/12/2022,EDC_B_63,NA,0.1 mL into 10 glass syringe,1,low,10468.56453,275.501687,0.1,10,1046856.453,27550.1687
0225,Deans,Fresh bubbles,3,8/31/22,838.3701,169.406,17.9769,2.357,10/12/2022,EDC_B_64,NA,0.1 mL into 10 glass syringe,1,low,4113.866464,-6.182193737,0.1,10,411386.6464,-618.2193737
0225,Deans,Fresh bubbles,3,8/31/22,1200.2003,237.622,31.2504,4.146,10/12/2022,EDC_B_65,Rerun,0.1 mL into 10 glass syringe,1,low,5887.835533,58.27413222,0.1,10,588783.5533,5827.413222
0261,Picks,P1D,2,9/13/2022,2773.7724,507.061,72.7458,9.109,10/12/2022,EDC_B_66,NA,0.2 mL into 10 glass syringe,1,low,13602.69248,259.776451,0.2,10,680134.6242,12988.82255
0261,Picks,P1D,2,9/13/2022,1592.4242,308.923,29.5488,3.916,10/12/2022,EDC_B_67,Rerun,0.1 mL into 10 glass syringe,1,low,7810.817824,50.0111357,0.1,10,781081.7824,5001.11357
0262,Picks,P1D,4,9/13/2022,2995.2732,542.031,49.9881,6.475,10/12/2022,EDC_B_68,Outside std curve but did not rerun,0.1 mL into 10 glass syringe,1,low,14688.65924,149.2646998,0.1,10,1468865.924,14926.46998
0263,Picks,P5A,5,9/13/2022,1004.1704,201.104,98.9094,11.955,10/12/2022,EDC_B_69,NA,0.1 mL into 10 glass syringe,1,low,4926.74666,386.8273064,0.1,10,492674.666,38682.73064
0264,Picks,P1D,7,9/14/2022,2765.7104,505.769,56.101,7.212,10/12/2022,EDC_B_70,NA,0.1 mL into 10 glass syringe,1,low,13563.16638,178.9490389,0.1,10,1356316.638,17894.90389
"calibration check (200 ppm CH4, 10000 CO2)",NA,NA,NA,NA,46.9696,11.059,2275.2216,184.734,10/12/2022,EDC_B_71,NA,NA,0,low,206.1837441,9126.098706,NA,NA,206.1837441,9126.098706
"calibration check (200 ppm CH4, 10000 CO2)",NA,NA,NA,NA,46.6668,11.031,2276.2444,184.829,10/12/2022,EDC_B_72,NA,NA,0,low,204.8746217,9130.236246,NA,NA,204.8746217,9130.236246
