Location	Trip	Date	Trap #	Gas Vol	Vial #	Emptied?	Anemometer	Diffusive start	Diffusive end	YSI top Temp	YSI top Pressure	YSI top DO%L	YSI top DOmg/L	YSI top SPC	YSI top C	YSI top pH	YSI bottom Temp	YSI bottom Pressure	YSI bottom DO%/L	YSI bottom Domg/L	YSI bottom SPC	YSI bottom C	YSI bottom pH	Macrophyte/shade
Pick	2	7/6/2022	P2B	1.5		N																		
Pick	2	7/6/2022	P2C	0.0		N	0.2/0.7	13:24:38.366	13:25:46.169	30.8	745.1	46.2	3.35	54	60.1	6.85	21.2	745.1	1.1	0.11	308.9	185	6.97	"Partial duck, partial shade"
Pick	2	7/6/2022	P2D	0.0		N	0.3/0.4	13:27:51.971	13:28:38.872															"Duck, sun"
Pick	2	7/6/2022	P2E	1.0		N																		
Pick	2	7/6/2022	P3A	1.5		N																		
Pick	2	7/6/2022	P3B	11.0	NA	Y	0.1/0.6	13:34:33.565	13:36:29.272															"Duck, sun"
Pick	2	7/6/2022	P3C	2.0		N																		
Pick	2	7/6/2022	P3D	5.0		N																		
Pick	2	7/6/2022	P3E	5.5		N	0.7/0.1	13:40:29.870	13:41:42.770															"Duck, sun"
Pick	2	7/6/2022	P4A	3.0	NA	Y	0.0/0.0	13:45:06.595	13:47:16.469	32.3	744.9	86.1	6.2	53	60.4	7.05	29.3	744.9	3.2	0.24	158.8	171.9	6.36	
Pick	2	7/6/2022	P4B	12.0		N																		
Pick	2	7/6/2022	P4C	2.0		N	0.2/0.3	13:52:23.170	13:54:07.171	32.7	744.8	52.9	3.87	54.4	62.6	6.91	29	744.8	21.1	"1,69"	"58,0"	62.4	6.62	"Duck, sun"
Pick	2	7/6/2022	P4D	1.5		N	0.4/0.4	13:56:25.972	13:57:21.975															"Duck, sun"
Pick	2	7/6/2022	P4E	29.0	0.115	Y																		
Pick	2	7/6/2022	P5A	2.5		N																		
Pick	2	7/6/2022	P5B	0.0		N	0.2/0.4	14:08:34.374	14:09:41.274															
Pick	2	7/6/2022	P5C	2.5		N																		"Duck, sun"
Pick	2	7/6/2022	P5D	3.5	NA	Y																		
Pick	2	7/6/2022	P5E	1.0		N	1.3/1.2	14:02:52.670	14:04:06.574															"Duck, sun"
Pick	3	7/6/2022	P1A	5.0		N																		No duck
Pick	3	7/6/2022	P1B	1.0		N	0.4/0.2	16:06:56.957	16:08:11.759															
Pick	3	7/6/2022	P1C	1.0		N																		
Pick	3	7/6/2022	P1D																					
Pick	3	7/6/2022	P1E																					
Pick	3	7/6/2022	P2A																					
Pick	3	7/6/2022	P2B																					
Pick	3	7/6/2022	P2C																					
Pick	3	7/6/2022	P2D																					
Pick	3	7/6/2022	P2E																					
Pick	3	7/6/2022	P3A																					
Pick	3	7/6/2022	P3B																					
Pick	3	7/6/2022	P3C																					
Pick	3	7/6/2022	P3D																					
Pick	3	7/6/2022	P3E																					
Pick	3	7/6/2022	P4A																					
Pick	3	7/6/2022	P4B																					
Pick	3	7/6/2022	P4C																					
Pick	3	7/6/2022	P4D																					
Pick	3	7/6/2022	P4E																					
Pick	3	7/6/2022	P5A																					
Pick	3	7/6/2022	P5B																					
Pick	3	7/6/2022	P5C																					
Pick	3	7/6/2022	P5D																					
Pick	3	7/6/2022	P5E																					
Pick	4	7/6/2022	P1A	5.0		N																		
Pick	4	7/6/2022	P1B	2.0		N	0.2	18:24:17.171	18:25:27.981															"Duck, Shade"
Pick	4	7/6/2022	P1C	2.5		N																		
Pick	4	7/6/2022	P1D	7.5		N																		
Pick	4	7/6/2022	P1E	10.5		N	0.1	18:28:56.587	18:30:44.382															
Pick	4	7/6/2022	P2A	5.0		N	0.1	18:33:58.076	18:35:29.887	32.5	743.3	107.2	7.59	52.7	6.02	7.27	30.1	743.4	60.1	4.55	53.4	58.7	6.99	"Duck, sun"
Pick	4	7/6/2022	P2B	1.5		N																		
Pick	4	7/6/2022	P2C	1.0		N	0.2	18:38:42.678	18:40:23.406	32.2	743.5	70.4	4.97	53.2	60.5	7.14	19.5	743.5	1	0.06	362.2	322.4	7.21	"Duck, shade"
Pick	4	7/6/2022	P2D	0.0		N	0	18:42:24.275	18:43:56.901															"Duck, Shade"
Pick	4	7/6/2022	P2E	3.5		N																		
Pick	4	7/6/2022	P3A	7.5		N																		
Pick	4	7/6/2022	P3B	8.0	NA	Y	0.2	18:48:46.585	18:50:07.277															"Duck, shade"
Pick	4	7/6/2022	P3C	4.0	NA	Y																		
Pick	4	7/6/2022	P3D	7.0		N																		
Pick	4	7/6/2022	P3E	12.0		N	0.2	18:54:28.884	18:56:26.585															"Duck, shade"
Pick	4	7/6/2022	P4A	8.0		N	0.1	18:59:03.484	19:01:23.299	32.3	743.8	132.2	9.44	52.1	59	9.05	29.4	743.8	6.5	0.45	154.1	161.3	6.43	"Duck, shade"
Pick	4	7/6/2022	P4B	28.0	116	Y																		
Pick	4	7/6/2022	P4C	7.0		N	0.1	19:07:47.780	19:10:31.480	32	743.8	73.8	4.41	53.5	60.2	7.04	29	743.8	0.6	0.04	92.2	96.9	5.86	"Duck, shade"
Pick	4	7/6/2022	P4D	11.0		N	0.1	19:12:22.373	19:14:00.380															"Duck, shade"
Pick	4	7/6/2022	P4E	110.0	117	Y																		
Pick	4	7/6/2022	P5A	15.0		N																		
Pick	4	7/6/2022	P5B	17.0		N	0.1	19:25:39.079	19:27:28.883															"Duck, shade"
Pick	4	7/6/2022	P5C	15.0		N																		
Pick	4	7/6/2022	P5D	26.5	118	Y																		
Pick	4	7/6/2022	P5E	15.0		N	0.3	19:18:37.283	19:20:21.182															"Duck, shade"
Pick	5	7/6/2022	P1A	8.0		N																		
Pick	5	7/6/2022	P1B	3.0		N	0	21:33:49.888	21:35:37.489															"Duck, dark"
Pick	5	7/6/2022	P1C	3.0		N																		
Pick	5	7/6/2022	P1D	10.0		N																		
Pick	5	7/6/2022	P1E	16.0		N	0.1	21:39:23.921	21:41:18.691															
Pick	5	7/6/2022	P2A	5.0		N	0.1	21:43:33.404	21:46:11.978	31.1	744.4	60.7	4.48	52.5	59.6	7.01	31.1	744.5	46.3	3.3	51.8	58.7	6.84	"Duck, dark"
Pick	5	7/6/2022	P2B	22.5	119	Y																		
Pick	5	7/6/2022	P2C	10.0		N	0.2	21:51:11.390	21:53:08.291	31.1	744.5	48.4	3.5	51.7	58	7.02	18.8	744.4	1	0.07	389.5	340.7	6.92	"Duck, dark"
Pick	5	7/6/2022	P2D	0.0		N																		
Pick	5	7/6/2022	P2E																					
Pick	5	7/6/2022	P3A																					
Pick	5	7/6/2022	P3B																					
Pick	5	7/6/2022	P3C																					
Pick	5	7/6/2022	P3D																					
Pick	5	7/6/2022	P3E																					
Pick	5	7/6/2022	P4A																					
Pick	5	7/6/2022	P4B																					
Pick	5	7/6/2022	P4C																					
Pick	5	7/6/2022	P4D																					
Pick	5	7/6/2022	P4E																					
Pick	5	7/6/2022	P5A																					
Pick	5	7/6/2022	P5B																					
Pick	5	7/6/2022	P5C																					
Pick	5	7/6/2022	P5D																					
Pick	5	7/6/2022	P5E																					
