Location,Trap #,Trip,Date,Gas Vol,Vial #,Emptied?,Anemometer,Start,End,YSI Top Temp,YSI Top Pressure,YSI Top DO %L,YSI Top DO mg/L,YSI Top SPC,YSI Top C,YSI Top pH,YSI Bottom Temp,YSI Bottom Pressure,YSI Bottom DO %L,YSI Bottom DO mg/L,YSI Bottom SPC,YSI Bottom C,YSI Bottom pH,Macrophyte/Shade,Notes
Deans,D3D,2,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D3E,2,8/30/2022,0.5,N/A,No,0.2/1.0,13:22:54.162,13:24:25.961,,,,,,,,,,,,,,,Sunny,
Deans,D4A,2,8/30/2022,0.2,N/A,No,2.6/0.9,13:27:33.761,13:33:18.362,29,746.3,80.9,6.16,44.5,47.8,7.5,28,746.3,55,4.2,43.9,46.4,7.25,Shade,
Deans,D4B,2,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D4C,2,8/30/2022,0.5,N/A,No,0.2/1.1,13:35:12.165,13:39:20.875,29.3,746.2,92.4,6.95,44.4,47.9,7.47,27.4,746.2,27.2,2.11,46.6,48.8,6.96,Sunny,
Deans,D4D,2,8/30/2022,0.0,N/A,No,0.9/1.1,13:46:32.766,13:47:46.770,,,,,,,,,,,,,,,Sunny,
Deans,D4E,2,8/30/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D5A,2,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D5B,2,8/30/2022,0.5,N/A,No,0.3/0.7,13:50:39.766,13:51:58.768,,,,,,,,,,,,,,,Sunny,
Deans,D5C,2,8/30/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D5D,2,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D5E,2,8/30/2022,4.5,N/A,No,0.4/0.2,13:54:13.468,13:56:48.368,,,,,,,,,,,,,,,Shade,
Deans,D1A,3,8/30/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D1B,3,8/30/2022,0.1,N/A,No,0.5/0.4,15:56:48.464,15:57:48.265,,,,,,,,,,,,,,,Sunny,
Deans,D1C,3,8/30/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D1D,3,8/30/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D1E,3,8/30/2022,0.3,N/A,No,0.2/0.0,16:00:01.056,16:01:21.859,,,,,,,,,,,,,,,Sunny,
Deans,D2A,3,8/30/2022,0.6,N/A,No,0.3/0.7,16:04:19.558,16:08:31.667,30.1,744.5,102.8,7.54,44.3,48.6,7.55,28,744.4,76.5,5.78,44,46.7,7.32,Sunny,
Deans,D2B,3,8/30/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D2C,3,8/30/2022,0.4,N/A,No,1.7/2.2,16:10:28.663,16:14:39.262,30.3,744.4,89.7,6.92,44.6,49,7.63,26.9,744.4,4.1,0.32,46.8,48.5,6.77,Sunny,
Deans,D2D,3,8/30/2022,0.0,N/A,No,0.2/1.3,16:16:15.160,16:17:39.060,,,,,,,,,,,,,,,Shade,
Deans,D2E,3,8/30/2022,0.7,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D3A,3,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D3B,3,8/30/2022,0.3,N/A,No,0.9/0.1,16:20:32.768,16:21:36.659,,,,,,,,,,,,,,,Sunny,
Deans,D3C,3,8/30/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D3D,3,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D3E,3,8/30/2022,2.5,N/A,No,0.1/0.3,16:23:30.480,16:24:45.460,,,,,,,,,,,,,,,Shade,
Deans,D4A,3,8/30/2022,0.3,N/A,No,0.2/0.5,16:26:59.257,16:31:20.160,30.5,744.5,86.4,6.33,44.7,49.2,7.51,28.9,744.5,81.4,6.21,42.9,46.1,7.6,Sunny,
Deans,D4B,3,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D4C,3,8/30/2022,0.4,N/A,No,0.5/0.7,16:33:19.891,16:38:29.859,30.8,744.4,78.8,5.76,45,49.7,7.59,27.4,744.4,20.3,1.59,47,49.1,6.79,Shade,
Deans,D4D,3,8/30/2022,0.2,N/A,No,0.4/0.5,16:40:07.761,16:41:17.591,,,,,,,,,,,,,,,Shade,
Deans,D4E,3,8/30/2022,2.5,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D5A,3,8/30/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D5B,3,8/30/2022,5.0,N/A,No,0.1/0.0,16:44:29.458,16:45:39.372,,,,,,,,,,,,,,,Sunny,
Deans,D5C,3,8/30/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D5D,3,8/30/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,Sunny,
Deans,D5E,3,8/30/2022,4.8,N/A,No,0.0/0.2,16:48:03.161,16:49:32.163,,,,,,,,,,,,,,,Shade,
Deans,D1A,4,8/30/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1B,4,8/30/2022,0.3,N/A,No,0.8/0.7,20:13:43.163,20:15:26.083,,,,,,,,,,,,,,,Overcast,
Deans,D1C,4,8/30/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1D,4,8/30/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1E,4,8/30/2022,0.3,N/A,No,0.6/0.6,20:17:50.961,20:20:14.483,,,,,,,,,,,,,,,Overcast,
Deans,D2A,4,8/30/2022,1.7,N/A,No,0.4/0.5,20:23:32.268,20:27:23.674,29.1,745.1,90.9,6.84,43.3,46.7,7.84,28.1,745.1,71.5,5.49,44.6,47.3,7.59,Overcast,
Deans,D2B,4,8/30/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D2C,4,8/30/2022,0.4,N/A,No,0.3/0.4,20:29:30.466,20:35:46.970,29.2,745.1,85.9,6.42,43.2,46.7,7.67,27,745.1,4.4,0.35,46,47.9,6.82,Overcast,
Deans,D2D,4,8/30/2022,0.0,N/A,No,0.1/0.0,20:37:18.864,20:38:49.675,,,,,,,,,,,,,,,Overcast,
Deans,D2E,4,8/30/2022,2.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3A,4,8/30/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3B,4,8/30/2022,0.3,N/A,No,0.4/0.3,20:41:43.383,20:42:53.263,,,,,,,,,,,,,,,Overcast,
Deans,D3C,4,8/30/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3D,4,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3E,4,8/30/2022,18.0,0218,Yes,0.0/0.1,20:46:48.165,20:47:50.163,,,,,,,,,,,,,,,Overcast,
Deans,D4A,4,8/30/2022,0.4,N/A,No,0.1/0.0,20:50:06.963,20:53:54.864,29,745.1,86.5,6.53,42.6,46.6,7.54,29,745.1,75.8,8.72,43.2,46.9,7.56,Overcast,
Deans,D4B,4,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D4C,4,8/30/2022,0.5,N/A,No,0.1/0.3,20:55:45.668,21:00:36.664,28.9,745.1,88.2,6.66,43,46.3,7.61,27.4,745.1,24.5,1.9,46.3,48.4,7,Overcast,
Deans,D4D,4,8/30/2022,0.1,N/A,No,0.1/0.0,21:02:28.668,21:03:39.570,,,,,,,,,,,,,,,Overcast,
Deans,D4E,4,8/30/2022,2.7,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5A,4,8/30/2022,2.3,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5B,4,8/30/2022,7.5,N/A,No,0.1/0.1,21:07:08.466,21:08:19.467,,,,,,,,,,,,,,,Overcast,
Deans,D5C,4,8/30/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5D,4,8/30/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5E,4,8/30/2022,5.3,N/A,No,0.1/0.0,21:10:52.470,21:12:17.374,,,,,,,,,,,,,,,Overcast,
Deans,D1A,5,8/30/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1B,5,8/30/2022,0.3,N/A,No,0.2/0.1,22:08:36.660,22:09:48.552,,,,,,,,,,,,,,,Overcast,
Deans,D1C,5,8/30/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1D,5,8/30/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1E,5,8/30/2022,0.3,N/A,No,0.3/0.2,22:12:22.388,22:13:46.258,,,,,,,,,,,,,,,Overcast,
Deans,D2A,5,8/30/2022,0.5,N/A,No,0.3/0.3,22:16:14.859,22:21:46.173,28.7,745.7,74.2,5.62,43.9,47.1,7.68,28.1,745.7,67.2,5.15,44.6,47.3,7.52,Overcast,
Deans,D2B,5,8/30/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D2C,5,8/30/2022,0.4,N/A,No,0.2/0.4,22:23:39.057,22:27:51.766,28.8,745.7,81.8,6.2,44.1,47.3,7.59,26.6,745.7,1.2,0.1,54.9,56.6,6.78,Overcast,
Deans,D2D,5,8/30/2022,0.0,N/A,No,0.0/0.3,22:29:35.658,22:30:53.456,,,,,,,,,,,,,,,Overcast,
Deans,D2E,5,8/30/2022,2.8,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3A,5,8/30/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3B,5,8/30/2022,0.3,N/A,No,0.1/0.0,22:34:00.259,22:35:52.158,,,,,,,,,,,,,,,Overcast,
Deans,D3C,5,8/30/2022,0.6,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3D,5,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3E,5,8/30/2022,0.0,N/A,No,0.1/0.0,22:38:15.763,22:39:19.660,,,,,,,,,,,,,,,Overcast,
Deans,D4A,5,8/30/2022,0.4,N/A,No,0.1/0.0,22:41:05.579,22:46:12.459,28.7,745.8,84.4,6.42,43.5,46.6,7.43,28,745.8,87.4,6.65,43.5,46.5,7.49,Overcast,
Deans,D4B,5,8/30/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D4C,5,8/30/2022,0.5,N/A,No,0.0/0.2,22:48:01.458,22:53:51.366,28.6,745.9,80.1,6.09,43.2,46.2,7.56,27.5,745.9,28.4,2.2,45.6,47.8,7,Overcast,
Deans,D4D,5,8/30/2022,0.1,N/A,No,0.1/0.1,22:55:04.265,22:56:29.162,,,,,,,,,,,,,,,Overcast,
Deans,D4E,5,8/30/2022,5.1,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5A,5,8/30/2022,1.2,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5B,5,8/30/2022,7.5,N/A,No,0.2/0.2,22:58:57.964,22:59:56.862,,,,,,,,,,,,,,,Overcast,
Deans,D5C,5,8/30/2022,0.3,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5D,5,8/30/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5E,5,8/30/2022,9.5,N/A,No,0.1/0.0,23:02:38.752,23:04:03.661,,,,,,,,,,,,,,,Overcast,
Deans,D1A,6,8/31/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1B,6,8/31/2022,0.4,N/A,No,0.0/0.0,01:43:41.798,01:44:59.591,,,,,,,,,,,,,,,Overcast,
Deans,D1C,6,8/31/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1D,6,8/31/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1E,6,8/31/2022,0.4,N/A,No,0.0/0.1,01:49:43.194,01:50:44.195,,,,,,,,,,,,,,,Overcast,
Deans,D2A,6,8/31/2022,2.3,N/A,No,0.0/0.0,01:53:32.194,01:57:03.892,28.2,745.6,70.4,5.38,44,46.7,7.65,28.2,745.6,80.4,6.15,44.1,46.8,7.54,Overcast,
Deans,D2B,6,8/31/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D2C,6,8/31/2022,0.4,N/A,No,0.1/0.1,02:00:03.793,02:03:08.599,28.2,745.6,72.9,5.61,44,46.7,7.54,26.6,745.6,0.9,0.07,51.8,53.3,6.8,Overcast,
Deans,D2D,6,8/31/2022,0.0,N/A,No,0.2/0.0,02:06:57.087,02:08:10.004,,,,,,,,,,,,,,,Overcast,
Deans,D2E,6,8/31/2022,2.9,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3A,6,8/31/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3B,6,8/31/2022,0.3,N/A,No,0.4/0.5,02:11:44.802,02:12:48.626,,,,,,,,,,,,,,,Overcast,
Deans,D3C,6,8/31/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3D,6,8/31/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3E,6,8/31/2022,0.5,N/A,No,0.0/0.0,02:15:09.596,02:16:09.502,,,,,,,,,,,,,,,Overcast,
Deans,D4A,6,8/31/2022,0.5,N/A,No,0.0/0.1,02:18:25.402,02:21:31.193,28.2,745.5,75.1,5.75,43.8,46.5,7.41,28.2,745.4,75.2,5.75,43.8,46.5,7.39,Overcast,
Deans,D4B,6,8/31/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D4C,6,8/31/2022,0.6,N/A,No,0.0/0.0,02:25:08.900,02:30:21.813,28.2,745.4,71.9,5.5,43.7,46.4,7.43,27.3,745.4,13.3,1.05,46.5,48.5,6.83,Overcast,
Deans,D4D,6,8/31/2022,0.1,N/A,No,0.0/0.0,02:32:56.602,02:34:20.599,,,,,,,,,,,,,,,Overcast,
Deans,D4E,6,8/31/2022,8.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5A,6,8/31/2022,7.3,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5B,6,8/31/2022,7.7,N/A,No,0.0/0.1,02:38:02.504,02:39:26.397,,,,,,,,,,,,,,,Overcast,
Deans,D5C,6,8/31/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5D,6,8/31/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5E,6,8/31/2022,8.2,N/A,No,0.0/0.0,02:42:36.404,02:43:48.402,,,,,,,,,,,,,,,Overcast,
Deans,D1A,7,8/31/2022,2.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1B,7,8/31/2022,0.4,N/A,No,0.3/0.2,04:29:12.975,04:30:14.772,,,,,,,,,,,,,,,Overcast,
Deans,D1C,7,8/31/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1D,7,8/31/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1E,7,8/31/2022,0.4,N/A,No,0.0/0.0,04:32:59.571,04:34:06.368,,,,,,,,,,,,,,,Overcast,
Deans,D2A,7,8/31/2022,2.0,N/A,No,0.0/0.0,04:36:38.970,04:38:49.870,27.9,745.5,75.1,58.6,44.1,46.6,7.51,27.9,745.6,74.2,5.74,44.2,46.6,7.45,Overcast,
Deans,D2B,7,8/31/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D2C,7,8/31/2022,0.5,N/A,No,0.1/0.1,04:41:16.670,04:44:06.467,28,745.6,74.6,5.87,44.1,46.6,7.44,26.5,745.6,1,0.08,69.4,71.2,6.83,Overcast,
Deans,D2D,7,8/31/2022,0.0,N/A,No,0.1/0.0,04:47:50.073,04:48:51.971,,,,,,,,,,,,,,,Overcast,
Deans,D2E,7,8/31/2022,4.8,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3A,7,8/31/2022,0.6,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3B,7,8/31/2022,0.3,N/A,No,0.0/0.0,04:52:29.773,04:53:32.673,,,,,,,,,,,,,,,Overcast,
Deans,D3C,7,8/31/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3D,7,8/31/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3E,7,8/31/2022,2.7,N/A,No,0.0/0.0,04:56:05.382,04:57:03.376,,,,,,,,,,,,,,,Overcast,
Deans,D4A,7,8/31/2022,0.5,N/A,No,0.0/0.2,04:58:47.982,05:01:05.772,27.9,745.7,73.9,5.68,43.5,45.9,7.23,28,745.7,68.2,4.63,43.9,46.4,7.26,Overcast,
Deans,D4B,7,8/31/2022,0.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D4C,7,8/31/2022,0.6,N/A,No,0.2/0.2,05:04:44.571,05:06:21.378,27.9,745.7,74.6,5.82,43.6,46.1,7.31,27.4,745.7,25.6,2,46.8,48.8,7.04,Overcast,
Deans,D4D,7,8/31/2022,0.1,N/A,No,0.0/0.0,05:08:21.369,05:09:24.272,,,,,,,,,,,,,,,Overcast,
Deans,D4E,7,8/31/2022,10.2,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5A,7,8/31/2022,5.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5B,7,8/31/2022,7.5,N/A,No,0.0/0.0,05:12:17.071,05:13:20.074,,,,,,,,,,,,,,,Overcast,
Deans,D5C,7,8/31/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5D,7,8/31/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5E,7,8/31/2022,7.7,N/A,No,0.0/0.0,05:15:59.871,05:16:59.882,,,,,,,,,,,,,,,Overcast,
Deans,D1A,8,8/31/2022,2.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1B,8,8/31/2022,0.4,N/A,No,0.1/0.3,07:16:04.852,07:17:05.756,,,,,,,,,,,,,,,Overcast,
Deans,D1C,8,8/31/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1D,8,8/31/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D1E,8,8/31/2022,0.4,N/A,No,0.1/0.1,07:19:36.368,07:20:31.264,,,,,,,,,,,,,,,Overcast,
Deans,D2A,8,8/31/2022,2.3,N/A,No,0.0/0.0,07:22:53.962,07:24:59.655,27.7,746.2,74.3,5.74,44,46.3,7.41,27.7,746.2,74.2,5.81,44,46.2,7.34,Overcast,
Deans,D2B,8,8/31/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D2C,8,8/31/2022,0.7,N/A,No,0.2/0.1,07:27:45.553,07:29:47.561,27.7,746.2,74.5,5.95,44.2,46.5,7.32,26.9,746.2,1.1,0.09,47.5,49.2,6.87,Overcast,
Deans,D2D,8,8/31/2022,0.1,N/A,No,0.0/0.3,07:32:11.356,07:33:10.262,,,,,,,,,,,,,,,Overcast,
Deans,D2E,8,8/31/2022,5.0,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3A,8,8/31/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3B,8,8/31/2022,0.3,N/A,No,0.3/0.1,07:36:11.969,07:37:13.861,,,,,,,,,,,,,,,Overcast,
Deans,D3C,8,8/31/2022,0.8,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3D,8,8/31/2022,0.2,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D3E,8,8/31/2022,2.6,N/A,No,0.0/0.0,07:39:49.563,07:40:56.456,,,,,,,,,,,,,,,Overcast,
Deans,D4A,8,8/31/2022,0.5,N/A,No,0.1/0.0,07:42:55.458,07:45:26.264,27.7,746.3,73.8,5.68,43.6,45.9,7.23,27.7,746.3,73.8,5.7,43.7,45.9,7.22,Overcast,
Deans,D4B,8,8/31/2022,0.1,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D4C,8,8/31/2022,0.5,N/A,No,0.1/0.2,07:48:17.159,07:50:26.160,27.7,746.2,72,5.57,44,46.2,7.24,27.5,746.4,46.6,3.61,44.7,46.8,7.03,Overcast,
Deans,D4D,8,8/31/2022,0.1,N/A,No,0.0/0.0,07:52:48.064,07:53:51.062,,,,,,,,,,,,,,,Overcast,
Deans,D4E,8,8/31/2022,10,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5A,8,8/31/2022,5.2,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5B,8,8/31/2022,7.5,N/A,No,0.0/0.1,07:56:22.069,07:57:51.963,,,,,,,,,,,,,,,Overcast,
Deans,D5C,8,8/31/2022,0.4,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5D,8,8/31/2022,0.5,N/A,No,,,,,,,,,,,,,,,,,,Overcast,
Deans,D5E,8,8/31/2022,7.8,N/A,No,0.0/0.0,08:00:04.864,08:01:05.764,,,,,,,,,,,,,,,Overcast,
